learner,k,n_target_units,mean_source_only_log_mae,mean_label_only_log_mae,mean_source_minus_label_log_mae,median_source_minus_label_log_mae,ci_lo,ci_hi,n_source_loss_higher,bootstrap_n,bootstrap_seed,target_unit_statistic
PLSR,5,24,0.3168313273486055,0.22318072273639497,0.09365060461221052,0.027501550731314058,0.027132157316199886,0.16610924841105695,15,100000,0,difference_of_within_target_medians
XGBoost,5,24,0.22414081030479804,0.22318072273639497,0.000960087568403095,-0.01699301551601698,-0.04030108572193586,0.04614308475668022,9,100000,0,difference_of_within_target_medians
MLP,5,24,0.23757462587291145,0.22318072273639497,0.014393903136516492,-0.021199487389585672,-0.028326052888524317,0.06479713881585171,10,100000,0,difference_of_within_target_medians
