outer_lake,inner_validation_lake,inner_training_group_count,inner_training_site_count,outer_groups_in_inner_training,inner_validation_groups_in_inner_training,inner_validation_group_count,exclusion_status
Lake Kummerow,Morse Reservoir,4213,396,0,0,53,VERIFIED
Lake Kummerow,Taihu,4078,396,0,0,188,VERIFIED
Lake Obłęże,Branched Oak Lake,4232,396,0,0,40,VERIFIED
Lake Obłęże,Chaohu,4251,396,0,0,21,VERIFIED
Lake Obłęże,Dianchi,4208,396,0,0,64,VERIFIED
Lake Obłęże,Eagle Creek Reservoir,4194,396,0,0,78,VERIFIED
Lake Obłęże,Erhai,4235,396,0,0,37,VERIFIED
Lake Obłęże,Garda,4235,396,0,0,37,VERIFIED
Lake Obłęże,Geist Reservoir,4216,396,0,0,56,VERIFIED
Lake Obłęże,High Rock Lake,4186,396,0,0,86,VERIFIED
Lake Obłęże,Ibitinga Reservoir,4244,396,0,0,28,VERIFIED
Lake Obłęże,Lake Chotkowskie,4250,396,0,0,22,VERIFIED
Lake Obłęże,Lake Erie,3746,396,0,0,526,VERIFIED
Lake Obłęże,Lake Geneva,4252,396,0,0,20,VERIFIED
Lake Obłęże,Lake Hume,4233,396,0,0,39,VERIFIED
Lake Obłęże,Lake Jasień Południowy,4250,396,0,0,22,VERIFIED
Lake Obłęże,Lake Jeleń,4250,396,0,0,22,VERIFIED
Lake Obłęże,Lake Kasumigaura,4084,396,0,0,188,VERIFIED
Lake Obłęże,Lake Kummerow,4246,396,0,0,26,VERIFIED
Lake Obłęże,Lake Peipsi,4198,396,0,0,74,VERIFIED
Lake Obłęże,Lake Winnipeg,4227,396,0,0,45,VERIFIED
Lake Obłęże,Lake Łebsko,4240,396,0,0,32,VERIFIED
Lake Obłęże,Mantova,4241,396,0,0,31,VERIFIED
Lake Obłęże,Morse Reservoir,4219,396,0,0,53,VERIFIED
Lake Obłęże,Taihu,4084,396,0,0,188,VERIFIED
Lake Peipsi,Branched Oak Lake,4178,396,0,0,40,VERIFIED
Lake Peipsi,Chaohu,4197,396,0,0,21,VERIFIED
Lake Peipsi,Dianchi,4154,396,0,0,64,VERIFIED
Lake Peipsi,Eagle Creek Reservoir,4140,396,0,0,78,VERIFIED
Lake Peipsi,Erhai,4181,396,0,0,37,VERIFIED
Lake Peipsi,Garda,4181,396,0,0,37,VERIFIED
Lake Peipsi,Geist Reservoir,4162,396,0,0,56,VERIFIED
Lake Peipsi,High Rock Lake,4132,396,0,0,86,VERIFIED
Lake Peipsi,Ibitinga Reservoir,4190,396,0,0,28,VERIFIED
Lake Peipsi,Lake Chotkowskie,4196,396,0,0,22,VERIFIED
Lake Peipsi,Lake Erie,3692,396,0,0,526,VERIFIED
Lake Peipsi,Lake Geneva,4198,396,0,0,20,VERIFIED
Lake Peipsi,Lake Hume,4179,396,0,0,39,VERIFIED
Lake Peipsi,Lake Jasień Południowy,4196,396,0,0,22,VERIFIED
Lake Peipsi,Lake Jeleń,4196,396,0,0,22,VERIFIED
Lake Peipsi,Lake Kasumigaura,4030,396,0,0,188,VERIFIED
Lake Peipsi,Lake Kummerow,4192,396,0,0,26,VERIFIED
Lake Peipsi,Lake Obłęże,4198,396,0,0,20,VERIFIED
Lake Peipsi,Lake Winnipeg,4173,396,0,0,45,VERIFIED
Lake Peipsi,Lake Łebsko,4186,396,0,0,32,VERIFIED
Lake Peipsi,Mantova,4187,396,0,0,31,VERIFIED
Lake Peipsi,Morse Reservoir,4165,396,0,0,53,VERIFIED
Lake Peipsi,Taihu,4030,396,0,0,188,VERIFIED
Lake Winnipeg,Branched Oak Lake,4207,396,0,0,40,VERIFIED
Lake Winnipeg,Chaohu,4226,396,0,0,21,VERIFIED
Lake Winnipeg,Dianchi,4183,396,0,0,64,VERIFIED
Lake Winnipeg,Eagle Creek Reservoir,4169,396,0,0,78,VERIFIED
Lake Winnipeg,Erhai,4210,396,0,0,37,VERIFIED
Lake Winnipeg,Garda,4210,396,0,0,37,VERIFIED
Lake Winnipeg,Geist Reservoir,4191,396,0,0,56,VERIFIED
Lake Winnipeg,High Rock Lake,4161,396,0,0,86,VERIFIED
Lake Winnipeg,Ibitinga Reservoir,4219,396,0,0,28,VERIFIED
Lake Winnipeg,Lake Chotkowskie,4225,396,0,0,22,VERIFIED
Lake Winnipeg,Lake Erie,3721,396,0,0,526,VERIFIED
Lake Winnipeg,Lake Geneva,4227,396,0,0,20,VERIFIED
Lake Winnipeg,Lake Hume,4208,396,0,0,39,VERIFIED
Lake Winnipeg,Lake Jasień Południowy,4225,396,0,0,22,VERIFIED
Lake Winnipeg,Lake Jeleń,4225,396,0,0,22,VERIFIED
Lake Winnipeg,Lake Kasumigaura,4059,396,0,0,188,VERIFIED
Lake Winnipeg,Lake Kummerow,4221,396,0,0,26,VERIFIED
Lake Winnipeg,Lake Obłęże,4227,396,0,0,20,VERIFIED
Lake Winnipeg,Lake Peipsi,4173,396,0,0,74,VERIFIED
Lake Winnipeg,Lake Łebsko,4215,396,0,0,32,VERIFIED
Lake Winnipeg,Mantova,4216,396,0,0,31,VERIFIED
Lake Winnipeg,Morse Reservoir,4194,396,0,0,53,VERIFIED
Lake Winnipeg,Taihu,4059,396,0,0,188,VERIFIED
Lake Łebsko,Branched Oak Lake,4220,396,0,0,40,VERIFIED
Lake Łebsko,Chaohu,4239,396,0,0,21,VERIFIED
Lake Łebsko,Dianchi,4196,396,0,0,64,VERIFIED
Lake Łebsko,Eagle Creek Reservoir,4182,396,0,0,78,VERIFIED
Lake Łebsko,Erhai,4223,396,0,0,37,VERIFIED
Lake Łebsko,Garda,4223,396,0,0,37,VERIFIED
Lake Łebsko,Geist Reservoir,4204,396,0,0,56,VERIFIED
Lake Łebsko,High Rock Lake,4174,396,0,0,86,VERIFIED
Lake Łebsko,Ibitinga Reservoir,4232,396,0,0,28,VERIFIED
Lake Łebsko,Lake Chotkowskie,4238,396,0,0,22,VERIFIED
Lake Łebsko,Lake Erie,3734,396,0,0,526,VERIFIED
Lake Łebsko,Lake Geneva,4240,396,0,0,20,VERIFIED
Lake Łebsko,Lake Hume,4221,396,0,0,39,VERIFIED
Lake Łebsko,Lake Jasień Południowy,4238,396,0,0,22,VERIFIED
Lake Łebsko,Lake Jeleń,4238,396,0,0,22,VERIFIED
Lake Łebsko,Lake Kasumigaura,4072,396,0,0,188,VERIFIED
Lake Łebsko,Lake Kummerow,4234,396,0,0,26,VERIFIED
Lake Łebsko,Lake Obłęże,4240,396,0,0,20,VERIFIED
Lake Łebsko,Lake Peipsi,4186,396,0,0,74,VERIFIED
Lake Łebsko,Lake Winnipeg,4215,396,0,0,45,VERIFIED
Lake Łebsko,Mantova,4229,396,0,0,31,VERIFIED
Lake Łebsko,Morse Reservoir,4207,396,0,0,53,VERIFIED
Lake Łebsko,Taihu,4072,396,0,0,188,VERIFIED
Mantova,Branched Oak Lake,4221,396,0,0,40,VERIFIED
Mantova,Chaohu,4240,396,0,0,21,VERIFIED
Mantova,Dianchi,4197,396,0,0,64,VERIFIED
Mantova,Eagle Creek Reservoir,4183,396,0,0,78,VERIFIED
Mantova,Erhai,4224,396,0,0,37,VERIFIED
Mantova,Garda,4224,396,0,0,37,VERIFIED
Mantova,Geist Reservoir,4205,396,0,0,56,VERIFIED
Mantova,High Rock Lake,4175,396,0,0,86,VERIFIED
Mantova,Ibitinga Reservoir,4233,396,0,0,28,VERIFIED
Mantova,Lake Chotkowskie,4239,396,0,0,22,VERIFIED
Mantova,Lake Erie,3735,396,0,0,526,VERIFIED
Mantova,Lake Geneva,4241,396,0,0,20,VERIFIED
Mantova,Lake Hume,4222,396,0,0,39,VERIFIED
Mantova,Lake Jasień Południowy,4239,396,0,0,22,VERIFIED
Mantova,Lake Jeleń,4239,396,0,0,22,VERIFIED
Mantova,Lake Kasumigaura,4073,396,0,0,188,VERIFIED
Mantova,Lake Kummerow,4235,396,0,0,26,VERIFIED
Mantova,Lake Obłęże,4241,396,0,0,20,VERIFIED
Mantova,Lake Peipsi,4187,396,0,0,74,VERIFIED
Mantova,Lake Winnipeg,4216,396,0,0,45,VERIFIED
Mantova,Lake Łebsko,4229,396,0,0,32,VERIFIED
Mantova,Morse Reservoir,4208,396,0,0,53,VERIFIED
Mantova,Taihu,4073,396,0,0,188,VERIFIED
Morse Reservoir,Branched Oak Lake,4199,396,0,0,40,VERIFIED
Morse Reservoir,Chaohu,4218,396,0,0,21,VERIFIED
Morse Reservoir,Dianchi,4175,396,0,0,64,VERIFIED
Morse Reservoir,Eagle Creek Reservoir,4161,396,0,0,78,VERIFIED
Morse Reservoir,Erhai,4202,396,0,0,37,VERIFIED
Morse Reservoir,Garda,4202,396,0,0,37,VERIFIED
Morse Reservoir,Geist Reservoir,4183,396,0,0,56,VERIFIED
Morse Reservoir,High Rock Lake,4153,396,0,0,86,VERIFIED
Morse Reservoir,Ibitinga Reservoir,4211,396,0,0,28,VERIFIED
Morse Reservoir,Lake Chotkowskie,4217,396,0,0,22,VERIFIED
Morse Reservoir,Lake Erie,3713,396,0,0,526,VERIFIED
Morse Reservoir,Lake Geneva,4219,396,0,0,20,VERIFIED
Morse Reservoir,Lake Hume,4200,396,0,0,39,VERIFIED
Morse Reservoir,Lake Jasień Południowy,4217,396,0,0,22,VERIFIED
Morse Reservoir,Lake Jeleń,4217,396,0,0,22,VERIFIED
Morse Reservoir,Lake Kasumigaura,4051,396,0,0,188,VERIFIED
Morse Reservoir,Lake Kummerow,4213,396,0,0,26,VERIFIED
Morse Reservoir,Lake Obłęże,4219,396,0,0,20,VERIFIED
Morse Reservoir,Lake Peipsi,4165,396,0,0,74,VERIFIED
Morse Reservoir,Lake Winnipeg,4194,396,0,0,45,VERIFIED
Morse Reservoir,Lake Łebsko,4207,396,0,0,32,VERIFIED
Morse Reservoir,Mantova,4208,396,0,0,31,VERIFIED
Morse Reservoir,Taihu,4051,396,0,0,188,VERIFIED
Taihu,Branched Oak Lake,4064,396,0,0,40,VERIFIED
Taihu,Chaohu,4083,396,0,0,21,VERIFIED
Taihu,Dianchi,4040,396,0,0,64,VERIFIED
Taihu,Eagle Creek Reservoir,4026,396,0,0,78,VERIFIED
Taihu,Erhai,4067,396,0,0,37,VERIFIED
Taihu,Garda,4067,396,0,0,37,VERIFIED
Taihu,Geist Reservoir,4048,396,0,0,56,VERIFIED
Taihu,High Rock Lake,4018,396,0,0,86,VERIFIED
Taihu,Ibitinga Reservoir,4076,396,0,0,28,VERIFIED
Taihu,Lake Chotkowskie,4082,396,0,0,22,VERIFIED
Taihu,Lake Erie,3578,396,0,0,526,VERIFIED
Taihu,Lake Geneva,4084,396,0,0,20,VERIFIED
Taihu,Lake Hume,4065,396,0,0,39,VERIFIED
Taihu,Lake Jasień Południowy,4082,396,0,0,22,VERIFIED
Taihu,Lake Jeleń,4082,396,0,0,22,VERIFIED
Taihu,Lake Kasumigaura,3916,396,0,0,188,VERIFIED
Taihu,Lake Kummerow,4078,396,0,0,26,VERIFIED
Taihu,Lake Obłęże,4084,396,0,0,20,VERIFIED
Taihu,Lake Peipsi,4030,396,0,0,74,VERIFIED
Taihu,Lake Winnipeg,4059,396,0,0,45,VERIFIED
Taihu,Lake Łebsko,4072,396,0,0,32,VERIFIED
Taihu,Mantova,4073,396,0,0,31,VERIFIED
Taihu,Morse Reservoir,4051,396,0,0,53,VERIFIED
