outer_lake,inner_validation_lake,inner_training_group_count,inner_training_site_count,outer_groups_in_inner_training,inner_validation_groups_in_inner_training,inner_validation_group_count,exclusion_status
Eagle Creek Reservoir,Lake Erie,3688,396,0,0,526,VERIFIED
Eagle Creek Reservoir,Lake Geneva,4194,396,0,0,20,VERIFIED
Eagle Creek Reservoir,Lake Hume,4175,396,0,0,39,VERIFIED
Eagle Creek Reservoir,Lake Jasień Południowy,4192,396,0,0,22,VERIFIED
Eagle Creek Reservoir,Lake Jeleń,4192,396,0,0,22,VERIFIED
Eagle Creek Reservoir,Lake Kasumigaura,4026,396,0,0,188,VERIFIED
Eagle Creek Reservoir,Lake Kummerow,4188,396,0,0,26,VERIFIED
Eagle Creek Reservoir,Lake Obłęże,4194,396,0,0,20,VERIFIED
Eagle Creek Reservoir,Lake Peipsi,4140,396,0,0,74,VERIFIED
Eagle Creek Reservoir,Lake Winnipeg,4169,396,0,0,45,VERIFIED
Eagle Creek Reservoir,Lake Łebsko,4182,396,0,0,32,VERIFIED
Eagle Creek Reservoir,Mantova,4183,396,0,0,31,VERIFIED
Eagle Creek Reservoir,Morse Reservoir,4161,396,0,0,53,VERIFIED
Eagle Creek Reservoir,Taihu,4026,396,0,0,188,VERIFIED
Erhai,Branched Oak Lake,4215,396,0,0,40,VERIFIED
Erhai,Chaohu,4234,396,0,0,21,VERIFIED
Erhai,Dianchi,4191,396,0,0,64,VERIFIED
Erhai,Eagle Creek Reservoir,4177,396,0,0,78,VERIFIED
Erhai,Garda,4218,396,0,0,37,VERIFIED
Erhai,Geist Reservoir,4199,396,0,0,56,VERIFIED
Erhai,High Rock Lake,4169,396,0,0,86,VERIFIED
Erhai,Ibitinga Reservoir,4227,396,0,0,28,VERIFIED
Erhai,Lake Chotkowskie,4233,396,0,0,22,VERIFIED
Erhai,Lake Erie,3729,396,0,0,526,VERIFIED
Erhai,Lake Geneva,4235,396,0,0,20,VERIFIED
Erhai,Lake Hume,4216,396,0,0,39,VERIFIED
Erhai,Lake Jasień Południowy,4233,396,0,0,22,VERIFIED
Erhai,Lake Jeleń,4233,396,0,0,22,VERIFIED
Erhai,Lake Kasumigaura,4067,396,0,0,188,VERIFIED
Erhai,Lake Kummerow,4229,396,0,0,26,VERIFIED
Erhai,Lake Obłęże,4235,396,0,0,20,VERIFIED
Erhai,Lake Peipsi,4181,396,0,0,74,VERIFIED
Erhai,Lake Winnipeg,4210,396,0,0,45,VERIFIED
Erhai,Lake Łebsko,4223,396,0,0,32,VERIFIED
Erhai,Mantova,4224,396,0,0,31,VERIFIED
Erhai,Morse Reservoir,4202,396,0,0,53,VERIFIED
Erhai,Taihu,4067,396,0,0,188,VERIFIED
Garda,Branched Oak Lake,4215,396,0,0,40,VERIFIED
Garda,Chaohu,4234,396,0,0,21,VERIFIED
Garda,Dianchi,4191,396,0,0,64,VERIFIED
Garda,Eagle Creek Reservoir,4177,396,0,0,78,VERIFIED
Garda,Erhai,4218,396,0,0,37,VERIFIED
Garda,Geist Reservoir,4199,396,0,0,56,VERIFIED
Garda,High Rock Lake,4169,396,0,0,86,VERIFIED
Garda,Ibitinga Reservoir,4227,396,0,0,28,VERIFIED
Garda,Lake Chotkowskie,4233,396,0,0,22,VERIFIED
Garda,Lake Erie,3729,396,0,0,526,VERIFIED
Garda,Lake Geneva,4235,396,0,0,20,VERIFIED
Garda,Lake Hume,4216,396,0,0,39,VERIFIED
Garda,Lake Jasień Południowy,4233,396,0,0,22,VERIFIED
Garda,Lake Jeleń,4233,396,0,0,22,VERIFIED
Garda,Lake Kasumigaura,4067,396,0,0,188,VERIFIED
Garda,Lake Kummerow,4229,396,0,0,26,VERIFIED
Garda,Lake Obłęże,4235,396,0,0,20,VERIFIED
Garda,Lake Peipsi,4181,396,0,0,74,VERIFIED
Garda,Lake Winnipeg,4210,396,0,0,45,VERIFIED
Garda,Lake Łebsko,4223,396,0,0,32,VERIFIED
Garda,Mantova,4224,396,0,0,31,VERIFIED
Garda,Morse Reservoir,4202,396,0,0,53,VERIFIED
Garda,Taihu,4067,396,0,0,188,VERIFIED
Geist Reservoir,Branched Oak Lake,4196,396,0,0,40,VERIFIED
Geist Reservoir,Chaohu,4215,396,0,0,21,VERIFIED
Geist Reservoir,Dianchi,4172,396,0,0,64,VERIFIED
Geist Reservoir,Eagle Creek Reservoir,4158,396,0,0,78,VERIFIED
Geist Reservoir,Erhai,4199,396,0,0,37,VERIFIED
Geist Reservoir,Garda,4199,396,0,0,37,VERIFIED
Geist Reservoir,High Rock Lake,4150,396,0,0,86,VERIFIED
Geist Reservoir,Ibitinga Reservoir,4208,396,0,0,28,VERIFIED
Geist Reservoir,Lake Chotkowskie,4214,396,0,0,22,VERIFIED
Geist Reservoir,Lake Erie,3710,396,0,0,526,VERIFIED
Geist Reservoir,Lake Geneva,4216,396,0,0,20,VERIFIED
Geist Reservoir,Lake Hume,4197,396,0,0,39,VERIFIED
Geist Reservoir,Lake Jasień Południowy,4214,396,0,0,22,VERIFIED
Geist Reservoir,Lake Jeleń,4214,396,0,0,22,VERIFIED
Geist Reservoir,Lake Kasumigaura,4048,396,0,0,188,VERIFIED
Geist Reservoir,Lake Kummerow,4210,396,0,0,26,VERIFIED
Geist Reservoir,Lake Obłęże,4216,396,0,0,20,VERIFIED
Geist Reservoir,Lake Peipsi,4162,396,0,0,74,VERIFIED
Geist Reservoir,Lake Winnipeg,4191,396,0,0,45,VERIFIED
Geist Reservoir,Lake Łebsko,4204,396,0,0,32,VERIFIED
Geist Reservoir,Mantova,4205,396,0,0,31,VERIFIED
Geist Reservoir,Morse Reservoir,4183,396,0,0,53,VERIFIED
Geist Reservoir,Taihu,4048,396,0,0,188,VERIFIED
High Rock Lake,Branched Oak Lake,4166,396,0,0,40,VERIFIED
