outer_lake,source_site,normalized_source_site,countries,water_body_type_codes,group_count,dataset_ids,organization_ids,tss_methods,raw_record_count,centroid_lat,centroid_lon,eligible_target_site,auxiliary_source_site,exact_name_collision_with_outer,normalized_name_collision_with_outer
Lake Chotkowskie,Lake D (Kainui),d kainui,New Zealand,1,3,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,3,-37.678000,175.233000,False,True,False,False
Lake Chotkowskie,Lake Dartmouth,dartmouth,Australia,1,4,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,4,-36.572500,147.557000,False,True,False,False
Lake Chotkowskie,Lake Elistvere,elistvere,Estonia,1,2,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,2,58.574000,26.704500,False,True,False,False
Lake Chotkowskie,Lake Ellesmere (Te Waihora),ellesmere te waihora,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-43.790000,172.450000,False,True,False,False
Lake Chotkowskie,Lake Erie,erie,Canada|United States of America (the),1,526,BindingC_CA_ECCC|MooreT_US_UNH|O'DonnellDM_US_UFI|VanderWoudeA_US_NOAA-GLERL,ECCC|NOAA-GLERL|UFI|UNH,APHA 2540 D|ECCC TSS,550,41.742000,-83.254000,True,False,False,False
Lake Chotkowskie,Lake Eucumbene,eucumbene,Australia,1,4,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,4,-36.085500,148.733000,False,True,False,False
Lake Chotkowskie,Lake Forsyth (Lake Wairewa),forsyth wairewa,New Zealand,1,3,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,3,-43.801000,172.745000,False,True,False,False
Lake Chotkowskie,Lake Gardno,gardno,Poland,1,12,FicekD_PL_APSL,APSL,APSL TSS,17,54.639000,17.143000,False,True,False,False
Lake Chotkowskie,Lake Geneva,geneva,Switzerland,1,20,SpyrakosE_GB_STIR,STIR,APHA 2540 D,20,46.438000,6.566500,True,False,False,False
Lake Chotkowskie,Lake Głębokie,gebokie,Poland,1,11,FicekD_PL_APSL,APSL,APSL TSS,11,54.277000,17.377000,False,True,False,False
Lake Chotkowskie,Lake Hakanoa,hakanoa,New Zealand,1,2,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,2,-37.553000,175.167500,False,True,False,False
Lake Chotkowskie,Lake Harihari,harihari,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-38.210000,174.723000,False,True,False,False
Lake Chotkowskie,Lake Haupiri,haupiri,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-42.567000,171.693000,False,True,False,False
Lake Chotkowskie,Lake Hawea,hawea,New Zealand,1,3,LehmannMK_NZ_UOW_NZ_LK|WertherM_GB_STIR,STIR|UOW,APHA 2540 D,3,-44.540000,169.289000,False,True,False,False
Lake Chotkowskie,Lake Hayes,hayes,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-44.983000,168.807000,False,True,False,False
Lake Chotkowskie,Lake Hino,hino,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,57.582000,27.232000,False,True,False,False
Lake Chotkowskie,Lake Holstre,holstre,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,58.276000,25.690000,False,True,False,False
Lake Chotkowskie,Lake Hume,hume,Australia,1,39,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,39,-36.110000,147.052000,True,False,False,False
Lake Chotkowskie,Lake Humuhumu,humuhumu,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-36.328000,174.129000,False,True,False,False
Lake Chotkowskie,Lake Jasień Południowy,jasien poudniowy,Poland,1,22,FicekD_PL_APSL,APSL,APSL TSS,23,54.285000,17.618000,True,False,False,False
Lake Chotkowskie,Lake Jasień Północny,jasien ponocny,Poland,1,4,FicekD_PL_APSL,APSL,APSL TSS,4,54.303000,17.615000,False,True,False,False
Lake Chotkowskie,Lake Jeleń,jelen,Poland,1,22,FicekD_PL_APSL,APSL,APSL TSS,22,54.198000,17.538000,True,False,False,False
Lake Chotkowskie,Lake Jindabyne,jindabyne,Australia,1,10,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,10,-36.361000,148.630500,False,True,False,False
Lake Chotkowskie,Lake Joemoisa,joemoisa,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,58.653000,26.832000,False,True,False,False
Lake Chotkowskie,Lake Joksi,joksi,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,58.002000,26.751000,False,True,False,False
Lake Chotkowskie,Lake Juottaan Tekojarvi,juottaan tekojarvi,Finland,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,66.319000,26.947000,False,True,False,False
Lake Chotkowskie,Lake Kaariku,kaariku,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,58.004000,26.396000,False,True,False,False
Lake Chotkowskie,Lake Kahuparere,kahuparere,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-36.369000,174.157000,False,True,False,False
Lake Chotkowskie,Lake Kai-iwi,kai iwi,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-35.816000,173.654000,False,True,False,False
Lake Chotkowskie,Lake Kaiavere,kaiavere,Estonia,1,2,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,2,58.595500,26.690500,False,True,False,False
Lake Chotkowskie,Lake Kaiu,kaiu,Estonia,1,2,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,2,58.644500,26.840500,False,True,False,False
Lake Chotkowskie,Lake Kalli,kalli,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,58.378000,27.239000,False,True,False,False
Lake Chotkowskie,Lake Kanono,kanono,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-36.365000,174.149000,False,True,False,False
Lake Chotkowskie,Lake Karaka,karaka,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-36.314000,174.038000,False,True,False,False
Lake Chotkowskie,Lake Karapiro,karapiro,New Zealand,1,2,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,2,-37.932000,175.547500,False,True,False,False
Lake Chotkowskie,Lake Kasumigaura,kasumigaura,Japan,1,188,MatsushitaB_JP_Tsukuba|SalemSI_JP_KUAS,KUAS|Tsukuba,APHA 2540 D,188,36.058500,140.365000,True,False,False,False
Lake Chotkowskie,Lake Kegonsa,kegonsa,United States of America (the),1,9,GrebSR_US_WDNR,WDNR,APHA 2540 D,9,42.963000,-89.254000,False,True,False,False
Lake Chotkowskie,Lake Komiojarvi,komiojarvi,Finland,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,66.913000,27.061000,False,True,False,False
Lake Chotkowskie,Lake Kooraste Linajarv,kooraste linajarv,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,57.963000,26.664000,False,True,False,False
Lake Chotkowskie,Lake Koorkula Valgjarv,koorkula valgjarv,Estonia,1,2,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,2,57.900000,25.872000,False,True,False,False
Lake Chotkowskie,Lake Koosa,koosa,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,58.434000,27.155000,False,True,False,False
Lake Chotkowskie,Lake Koshkonong,koshkonong,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,42.875000,-88.978000,False,True,False,False
Lake Chotkowskie,Lake Kummerow,kummerow,Germany,1,26,OppeltN_DE_CAU_Kiel,CAU_Kiel,DIN 38409-2:1987-03,26,53.833500,12.891000,True,False,False,False
Lake Chotkowskie,Lake Kuremaa,kuremaa,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,58.712000,26.562000,False,True,False,False
Lake Chotkowskie,Lake Loch Katrine,loch katrine,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-42.719000,172.200000,False,True,False,False
Lake Chotkowskie,Lake Lucerne,lucerne,Switzerland,1,4,WertherM_GB_STIR,STIR,APHA 2540 D,4,46.986500,8.451500,False,True,False,False
Lake Chotkowskie,Lake Manapouri,manapouri,New Zealand,1,2,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,2,-45.508000,167.568500,False,True,False,False
Lake Chotkowskie,"Lake Manawa, IA",manawa ia,United States of America (the),1,10,SchallesJ_US_Creighton,Creighton,Creighton TSS,10,41.204000,-95.853000,False,True,False,False
Lake Chotkowskie,Lake Maraetai,maraetai,New Zealand,1,2,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,2,-38.364500,175.786500,False,True,False,False
Lake Chotkowskie,Lake Maratoto,maratoto,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-37.888000,175.304000,False,True,False,False
Lake Chotkowskie,Lake Mendota,mendota,United States of America (the),1,12,GrebSR_US_WDNR,WDNR,APHA 2540 D,12,43.098000,-89.420000,False,True,False,False
Lake Chotkowskie,Lake Michigan,michigan,United States of America (the),1,15,GrebSR_US_WDNR,WDNR,APHA 2540 D,15,44.596000,-87.793000,False,True,False,False
Lake Chotkowskie,Lake Mokeno,mokeno,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-36.352000,174.061000,False,True,False,False
