outer_lake,source_site,normalized_source_site,countries,water_body_type_codes,group_count,dataset_ids,organization_ids,tss_methods,raw_record_count,centroid_lat,centroid_lon,eligible_target_site,auxiliary_source_site,exact_name_collision_with_outer,normalized_name_collision_with_outer
Branched Oak Lake,Akan,akan,Japan,1,2,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,2,43.455000,144.101500,False,True,False,False
Branched Oak Lake,Albufera,albufera,Spain,1,6,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,6,39.333500,-0.361000,False,True,False,False
Branched Oak Lake,Alcántara,alcantara,Spain,1,4,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,4,39.710500,-6.473500,False,True,False,False
Branched Oak Lake,Almendra,almendra,Spain,1,6,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,6,41.238000,-6.283500,False,True,False,False
Branched Oak Lake,"Altamaha River, GA",altamaha river ga,United States of America (the),4,18,SchallesJ_US_Creighton,NOAA ECSC|NSF GCE LTER,Creighton TSS,18,31.317500,-81.412500,False,True,False,False
Branched Oak Lake,"Altamaha Sound, GA",altamaha sound ga,United States of America (the),2,1,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,1,31.321000,-81.317000,False,True,False,False
Branched Oak Lake,Amer,amer,Netherlands (the),4,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,51.710000,4.815000,False,True,False,False
Branched Oak Lake,Amsterdam-Rhine Canal,amsterdam rhine canal,Netherlands (the),4,1,DekkerAG_NL_VU,VU,VU TSS,1,52.175000,4.994000,False,True,False,False
Branched Oak Lake,Amsterdam-Rijn kanaal Weesp,amsterdam rijn kanaal weesp,Netherlands (the),4,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,52.306000,5.022000,False,True,False,False
Branched Oak Lake,Ankeveensche Plassen,ankeveensche plassen,Netherlands (the),1,2,DekkerAG_NL_VU,VU,VU TSS,2,52.275000,5.075500,False,True,False,False
Branched Oak Lake,"Apalachicola Bay, FL",apalachicola bay fl,United States of America (the),2,48,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,49,29.699500,-84.932000,False,True,False,False
Branched Oak Lake,"Apalachicola River, FL",apalachicola river fl,United States of America (the),4,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,29.737500,-84.992000,False,True,False,False
Branched Oak Lake,"Aransas Bay, TX",aransas bay tx,United States of America (the),2,13,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,13,28.007000,-97.029000,False,True,False,False
Branched Oak Lake,"Aransas Channel, TX",aransas channel tx,United States of America (the),2,5,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,5,27.862000,-97.143000,False,True,False,False
Branched Oak Lake,"Aransas Pass, TX",aransas pass tx,United States of America (the),2|3,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,27.837500,-97.043500,False,True,False,False
Branched Oak Lake,Arcachon Bay,arcachon bay,France,3,19,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,25,44.668000,-1.145000,False,True,False,False
Branched Oak Lake,"Ashepoo River, SC",ashepoo river sc,United States of America (the),4,8,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,8,32.582500,-80.483000,False,True,False,False
Branched Oak Lake,Atlantic Ocean,atlantic ocean,France|Spain,3,13,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,13,43.956000,-8.743000,False,True,False,False
Branched Oak Lake,"Atlantic Ocean, GA",atlantic ocean ga,United States of America (the),3,137,SchallesJ_US_Creighton,NOAA ECSC|NSF GCE LTER,Creighton TSS,137,31.363000,-80.896000,False,True,False,False
Branched Oak Lake,Ba Be Lake,ba be,Viet Nam,1,29,NguyenTTH_VN_VNU-HUS,VNU-HUS,APHA 2540 D,30,22.407000,105.621000,False,True,False,False
Branched Oak Lake,"Bahia Grande, TX",bahia grande tx,United States of America (the),2,8,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,8,26.033000,-97.288000,False,True,False,False
Branched Oak Lake,Baltic Sea,baltic sea,Sweden,3,2,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,3,58.716000,17.629500,False,True,False,False
Branched Oak Lake,"Baltimore Harbor, MD",baltimore harbor md,United States of America (the),2,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,39.222500,-76.546000,False,True,False,False
Branched Oak Lake,"Bangs Lake, MS",bangs ms,United States of America (the),2,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,30.358500,-88.468000,False,True,False,False
Branched Oak Lake,Bassenthwaite Lake,bassenthwaite,United Kingdom of Great Britain and Northern Ireland (the),1,4,SpyrakosE_GB_STIR,STIR,APHA 2540 D,4,54.658000,-3.222000,False,True,False,False
Branched Oak Lake,"Bayou Cassotte, MS",bayou cassotte ms,United States of America (the),2,3,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,3,30.344000,-88.509000,False,True,False,False
Branched Oak Lake,"Bayou Cumbest, MS",bayou cumbest ms,United States of America (the),2,8,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,8,30.383000,-88.441000,False,True,False,False
Branched Oak Lake,"Bayou Heron, MS",bayou heron ms,United States of America (the),2,7,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,7,30.397000,-88.401000,False,True,False,False
Branched Oak Lake,Beaver Dam Lake,beaver dam,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,43.470000,-88.861000,False,True,False,False
Branched Oak Lake,Big Saint Germain Lake,big saint germain,United States of America (the),1,6,GrebSR_US_WDNR,WDNR,APHA 2540 D,6,45.933000,-89.520000,False,True,False,False
Branched Oak Lake,Big Sand Lake,big sand,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,46.065000,-88.973000,False,True,False,False
Branched Oak Lake,Biwa,biwa,Japan,1,9,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,9,35.245000,136.055000,False,True,False,False
Branched Oak Lake,"Black River, SC",black river sc,United States of America (the),4,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,33.442500,-79.261000,False,True,False,False
Branched Oak Lake,"Blackbird Creek, DE",blackbird creek de,United States of America (the),1|2,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,39.399000,-75.610000,False,True,False,False
Branched Oak Lake,"Blackburn Bay, FL",blackburn bay fl,United States of America (the),2,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,27.145000,-82.476500,False,True,False,False
Branched Oak Lake,Blowering Reservoir,blowering,Australia,1,9,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,9,-35.481000,148.263000,False,True,False,False
Branched Oak Lake,BovenMerwede,bovenmerwede,Netherlands (the),4,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,51.829000,4.963000,False,True,False,False
Branched Oak Lake,Breukeleveensche- of Stille Plas,breukeleveensche of stille plas,Netherlands (the),1,1,DekkerAG_NL_VU,VU,VU TSS,1,52.184000,5.083000,False,True,False,False
Branched Oak Lake,Bronkhorstspruit,bronkhorstspruit,South Africa,1,4,KravitzJ_ZA_UCT,UCT,APHA 2540 D,4,-25.902000,28.693000,False,True,False,False
Branched Oak Lake,Burrinjuck Dam,burrinjuck dam,Australia,1,11,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,11,-34.965000,148.693000,False,True,False,False
Branched Oak Lake,"Bush River, MD",bush river md,United States of America (the),4,5,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,5,39.421000,-76.261000,False,True,False,False
Branched Oak Lake,Butternut Lake,butternut,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,45.915000,-88.995000,False,True,False,False
Branched Oak Lake,Cannon,cannon,United States of America (the),1,1,OlmansonLG_US_UMN,UMN,UMN TSS,1,44.276000,-93.349000,False,True,False,False
Branched Oak Lake,"Canoochee River, GA",canoochee river ga,United States of America (the),4,1,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,1,31.984000,-81.327000,False,True,False,False
Branched Oak Lake,"Carl Blackwell Lake, OK",carl blackwell ok,United States of America (the),1,3,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,3,36.140000,-97.254000,False,True,False,False
Branched Oak Lake,"Carter Lake, NE",carter ne,United States of America (the),1,17,SchallesJ_US_Creighton,Creighton,Creighton TSS,17,41.294000,-95.916000,False,True,False,False
Branched Oak Lake,Chaohu,chaohu,China,1,21,MaR_CN_NIGLAS,NIGLAS,APHA 2540 D,29,31.573000,117.453000,True,False,False,False
Branched Oak Lake,"Charlotte Harbor, FL",charlotte harbor fl,United States of America (the),2,5,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,5,26.952000,-82.122000,False,True,False,False
Branched Oak Lake,"Chesapeake Bay, MD",chesapeake bay md,United States of America (the),2,10,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,10,38.710000,-76.482500,False,True,False,False
Branched Oak Lake,"Combahee River, SC",combahee river sc,United States of America (the),4,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,32.506000,-80.531000,False,True,False,False
Branched Oak Lake,Como,como,Italy,1,3,GiardinoC_IT_CNR-IREA,CNR-IREA,ISO 11923:1997,3,45.984000,9.281000,False,True,False,False
Branched Oak Lake,Coniston Water,coniston water,United Kingdom of Great Britain and Northern Ireland (the),1,1,SpyrakosE_GB_STIR,STIR,APHA 2540 D,1,54.362000,-3.062000,False,True,False,False
Branched Oak Lake,"Corpus Christi Bay, TX",corpus christi bay tx,United States of America (the),2,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,27.783000,-97.385500,False,True,False,False
Branched Oak Lake,"Corpus Christi Ship Channel, TX",corpus christi ship channel tx,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,27.820000,-97.188000,False,True,False,False
Branched Oak Lake,"Crooked Bayou, MS",crooked bayou ms,United States of America (the),2,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,30.354000,-88.419000,False,True,False,False
Branched Oak Lake,Cuerda del Pozo,cuerda del pozo,Spain,1,6,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,6,41.856000,-2.737000,False,True,False,False
Branched Oak Lake,"Cumberland Sound, GA",cumberland sound ga,United States of America (the),3,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,30.716000,-81.473000,False,True,False,False
Branched Oak Lake,"Cunningham Lake, NE",cunningham ne,United States of America (the),1,9,SchallesJ_US_Creighton,Creighton,Creighton TSS,9,41.350000,-96.055000,False,True,False,False
Branched Oak Lake,Curuai Lake,curuai,Brazil,1,14,BarbosaCCF_BR_LabISA-INPE,LabISA-INPE,LabISA-INPE TSS,14,-2.156500,-55.427000,False,True,False,False
Branched Oak Lake,"Delaware Bay, DE",delaware bay de,United States of America (the),2,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,39.065000,-75.387000,False,True,False,False
Branched Oak Lake,"Derby Pond, DE",derby pond de,United States of America (the),1,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,39.086000,-75.560000,False,True,False,False
Branched Oak Lake,Dianchi,dianchi,China,1,64,MaR_CN_NIGLAS|MatsushitaB_JP_Tsukuba,NIGLAS|Tsukuba,APHA 2540 D,64,24.836500,102.685000,True,False,False,False
Branched Oak Lake,"Doboy Sound, GA",doboy sound ga,United States of America (the),2,5,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,5,31.432000,-81.320000,False,True,False,False
Branched Oak Lake,"Doctor's Lake, FL",doctor s fl,United States of America (the),2,3,SchallesJ_US_Creighton,NSF GCE LTER,Creighton TSS,3,30.114000,-81.748000,False,True,False,False
Branched Oak Lake,"Dona Bay, FL",dona bay fl,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,27.116000,-82.454000,False,True,False,False
Branched Oak Lake,"Duplin River, GA",duplin river ga,United States of America (the),4,17,SchallesJ_US_Creighton,NOAA ECSC|NSF GCE LTER,Creighton TSS,17,31.441000,-81.280000,False,True,False,False
Branched Oak Lake,Eagle Creek Reservoir,eagle creek,United States of America (the),1,78,LiL_US_IUPUI,IUPUI,IUPUI TSS,79,39.846000,-86.306500,True,False,False,False
Branched Oak Lake,"East Bay, FL",east bay fl,United States of America (the),1|2,7,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,7,29.770000,-84.909000,False,True,False,False
Branched Oak Lake,"Edisto River, SC",edisto river sc,United States of America (the),4,11,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,12,32.592000,-80.396000,False,True,False,False
Branched Oak Lake,"Elizabeth River, VA",elizabeth river va,United States of America (the),4,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,36.883000,-76.333000,False,True,False,False
Branched Oak Lake,Elysian,elysian,United States of America (the),1,1,OlmansonLG_US_UMN,UMN,UMN TSS,1,44.196000,-93.659000,False,True,False,False
Branched Oak Lake,English Channel,english channel,Belgium|France|Netherlands (the)|United Kingdom of Great Britain and Northern Ireland (the),3,107,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,112,51.068000,1.520000,False,True,False,False
Branched Oak Lake,Erhai,erhai,China,1,37,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,37,25.846000,100.180000,True,False,False,False
Branched Oak Lake,Fence Lake,fence,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,45.952000,-89.835000,False,True,False,False
Branched Oak Lake,"Fork Branch, DE",fork branch de,United States of America (the),1,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,39.183000,-75.548000,False,True,False,False
Branched Oak Lake,Fox Lake,fox,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,43.589000,-88.920000,False,True,False,False
Branched Oak Lake,Fox River,fox river,United States of America (the),4,1,GrebSR_US_WDNR,WDNR,APHA 2540 D,1,44.537000,-88.006000,False,True,False,False
Branched Oak Lake,Francis,francis,United States of America (the),1,1,OlmansonLG_US_UMN,UMN,UMN TSS,1,44.211000,-93.694000,False,True,False,False
Branched Oak Lake,Fremont Lake #01,fremont 01,United States of America (the),1,17,GitelsonAA_US_UNL,UNL,APHA 2540 D,17,41.450000,-96.561000,False,True,False,False
Branched Oak Lake,Fremont Lake #02,fremont 02,United States of America (the),1,17,GitelsonAA_US_UNL,UNL,APHA 2540 D,17,41.450000,-96.564000,False,True,False,False
Branched Oak Lake,Fremont Lake #03,fremont 03,United States of America (the),1,17,GitelsonAA_US_UNL,UNL,APHA 2540 D,17,41.451000,-96.570000,False,True,False,False
Branched Oak Lake,Fremont Lake #04,fremont 04,United States of America (the),1,14,GitelsonAA_US_UNL,UNL,APHA 2540 D,14,41.451000,-96.577000,False,True,False,False
Branched Oak Lake,Fremont Lake #05,fremont 05,United States of America (the),1,17,GitelsonAA_US_UNL,UNL,APHA 2540 D,17,41.449000,-96.571000,False,True,False,False
Branched Oak Lake,Fremont Lake #07,fremont 07,United States of America (the),1,16,GitelsonAA_US_UNL,UNL,APHA 2540 D,16,41.450000,-96.580000,False,True,False,False
Branched Oak Lake,Fremont Lake #16,fremont 16,United States of America (the),1,17,GitelsonAA_US_UNL,UNL,APHA 2540 D,17,41.442000,-96.558000,False,True,False,False
Branched Oak Lake,Fremont Lake #17,fremont 17,United States of America (the),1,17,GitelsonAA_US_UNL,UNL,APHA 2540 D,17,41.439000,-96.546000,False,True,False,False
Branched Oak Lake,Fremont Lake #18,fremont 18,United States of America (the),1,4,GitelsonAA_US_UNL,UNL,APHA 2540 D,4,41.438000,-96.541000,False,True,False,False
Branched Oak Lake,Fremont Lake #20,fremont 20,United States of America (the),1,13,GitelsonAA_US_UNL,UNL,APHA 2540 D,13,41.437000,-96.549000,False,True,False,False
Branched Oak Lake,Garda,garda,Italy,1,37,GiardinoC_IT_CNR-IREA,CNR-IREA,ISO 11923:1997,45,45.501000,10.602000,True,False,False,False
Branched Oak Lake,Geist Reservoir,geist,United States of America (the),1,56,LiL_US_IUPUI,IUPUI,IUPUI TSS,56,39.927000,-85.955500,True,False,False,False
Branched Oak Lake,Geneva Lake,geneva,United States of America (the),1,12,GrebSR_US_WDNR,WDNR,APHA 2540 D,12,42.567000,-88.503500,False,True,False,False
Branched Oak Lake,Gironde River,gironde river,France,2,8,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,32,45.200500,-0.765000,False,True,False,False
Branched Oak Lake,"Grand Bay, MS",grand bay ms,United States of America (the),2,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,30.365000,-88.352500,False,True,False,False
Branched Oak Lake,"Great Pee Dee River, SC",great pee dee river sc,United States of America (the),4,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,33.353000,-79.272000,False,True,False,False
Branched Oak Lake,Green Lake,green,United States of America (the),1,6,GrebSR_US_WDNR,WDNR,APHA 2540 D,6,43.810000,-89.000500,False,True,False,False
Branched Oak Lake,Grevelingen,grevelingen,Netherlands (the),1,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,51.777000,3.867000,False,True,False,False
Branched Oak Lake,Guiana,guiana,France,3,200,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,228,4.943000,-52.191000,False,True,False,False
Branched Oak Lake,"Gulf of Mexcio, FL",gulf of mexcio fl,United States of America (the),3,3,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,3,26.736000,-82.193000,False,True,False,False
Branched Oak Lake,"Gulf of Mexico, TX",gulf of mexico tx,United States of America (the),3,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,27.844000,-97.038000,False,True,False,False
Branched Oak Lake,Gulf of Tonkin,gulf of tonkin,Viet Nam,3,96,JametC_FR_ULCO-LOG,<missing>,APHA 2540 D,102,20.828500,106.957000,False,True,False,False
Branched Oak Lake,"Ha Long Bay, Quang Ninh Province",ha long bay quang ninh province,Viet Nam,3,19,NguyenTTH_VN_VNU-HUS,VNU-HUS,APHA 2540 D,20,20.914000,107.088000,False,True,False,False
Branched Oak Lake,Haringvliet,haringvliet,Netherlands (the),2,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,51.822000,4.040000,False,True,False,False
Branched Oak Lake,Hartbeespoort,hartbeespoort,South Africa,1,16,KravitzJ_ZA_UCT|MatthewsM_ZA_UCT,UCT,APHA 2540 D,16,-25.751500,27.850000,False,True,False,False
Branched Oak Lake,Hauroko,hauroko,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-45.997000,167.330000,False,True,False,False
Branched Oak Lake,Hawke Bay,hawke bay,New Zealand,3,65,LehmannMK_NZ_UOW_NZ_CST,UOW,APHA 2540 D,65,-39.144000,177.195000,False,True,False,False
Branched Oak Lake,Hibara,hibara,Japan,1,4,MatsushitaB_JP_Tsukuba,Tsukuba,APHA 2540 D,4,37.692500,140.055500,False,True,False,False
Branched Oak Lake,High Rock Lake,high rock,United States of America (the),1,86,DiVittorioC_US_WFU,WFU,APHA 2540 D,86,35.654000,-80.307500,True,False,False,False
Branched Oak Lake,Hilversums Kanaal,hilversums kanaal,Netherlands (the),4,1,DekkerAG_NL_VU,VU,VU TSS,1,52.233000,5.067000,False,True,False,False
Branched Oak Lake,Ibitinga Reservoir,ibitinga,Brazil,1,28,BarbosaCCF_BR_LabISA-INPE,LabISA-INPE,LabISA-INPE TSS,28,-21.848000,-48.952000,True,False,False,False
Branched Oak Lake,Ijmeer Durgerdam,ijmeer durgerdam,Netherlands (the),1,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,52.377000,4.991000,False,True,False,False
Branched Oak Lake,Ijsselmeer De Oude Zeug,ijsselmeer de oude zeug,Netherlands (the),1,1,WernandMR_NL_NIOZ_LK,NIOZ,NIOZ TSS,1,52.859000,5.103000,False,True,False,False
Branched Oak Lake,"Intracoastal Waterway, FL",intracoastal waterway fl,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,27.102000,-82.443000,False,True,False,False
Branched Oak Lake,"Intracoastal Waterway, GA",intracoastal waterway ga,United States of America (the),2,6,SchallesJ_US_Creighton,NOAA ECSC|NSF GCE LTER,Creighton TSS,6,31.508000,-81.311500,False,True,False,False
Branched Oak Lake,"Intracoastal Waterway, TX",intracoastal waterway tx,United States of America (the),2,2,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,2,28.149500,-96.895500,False,True,False,False
Branched Oak Lake,Iseo,iseo,Italy,1,17,GiardinoC_IT_CNR-IREA,CNR-IREA,ISO 11923:1997,17,45.679000,10.053000,False,True,False,False
Branched Oak Lake,Iznájar,iznajar,Spain,1,6,Ruiz-VerduA_ES_UVEG-CEDEX,UVEG-CEDEX,APHA 2540 D,6,37.280500,-4.353500,False,True,False,False
Branched Oak Lake,"James River, VA",james river va,United States of America (the),4,8,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,8,36.994500,-76.470500,False,True,False,False
Branched Oak Lake,"Knitting Mill Creek, VA",knitting mill creek va,United States of America (the),2,1,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,1,36.886000,-76.294000,False,True,False,False
Branched Oak Lake,Lac Courte Oreilles,lac courte oreilles,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,45.891000,-91.441000,False,True,False,False
Branched Oak Lake,Lac Vieux Desert,lac vieux desert,United States of America (the),1,6,GrebSR_US_WDNR,WDNR,APHA 2540 D,6,46.129500,-89.120500,False,True,False,False
Branched Oak Lake,"Lafayette River, VA",lafayette river va,United States of America (the),4,4,SchallesJ_US_Creighton,NOAA ECSC,Creighton TSS,4,36.906500,-76.305500,False,True,False,False
Branched Oak Lake,Lake Ahijarv,ahijarv,Estonia,1,2,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,2,57.713000,26.501500,False,True,False,False
Branched Oak Lake,Lake Arapuni,arapuni,New Zealand,1,2,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,2,-38.123000,175.627500,False,True,False,False
Branched Oak Lake,Lake Areare,areare,New Zealand,1,3,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,3,-37.668000,175.201000,False,True,False,False
Branched Oak Lake,Lake Aviemore,aviemore,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-44.621000,170.305000,False,True,False,False
Branched Oak Lake,Lake B,b,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-37.679000,175.248000,False,True,False,False
Branched Oak Lake,Lake Benmore,benmore,New Zealand,1,2,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,2,-44.399500,170.224500,False,True,False,False
Branched Oak Lake,Lake Biel,biel,Switzerland,1,4,SpyrakosE_GB_STIR,STIR,APHA 2540 D,4,47.093500,7.193000,False,True,False,False
Branched Oak Lake,Lake Bonney,bonney,Australia,1,6,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,6,-34.217000,140.451500,False,True,False,False
Branched Oak Lake,Lake Boruja Mała,boruja maa,Poland,1,13,FicekD_PL_APSL,APSL,APSL TSS,13,54.088000,17.423000,False,True,False,False
Branched Oak Lake,Lake Brunner,brunner,New Zealand,1,4,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,4,-42.625000,171.455000,False,True,False,False
Branched Oak Lake,Lake Burley Griffin,burley griffin,Australia,1,2,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,2,-35.292000,149.100000,False,True,False,False
Branched Oak Lake,Lake Chetac,chetac,United States of America (the),1,3,GrebSR_US_WDNR,WDNR,APHA 2540 D,3,45.712000,-91.502000,False,True,False,False
Branched Oak Lake,Lake Chippewa,chippewa,United States of America (the),1,6,GrebSR_US_WDNR,WDNR,APHA 2540 D,6,45.935000,-91.170000,False,True,False,False
Branched Oak Lake,Lake Chotkowskie,chotkowskie,Poland,1,22,FicekD_PL_APSL,APSL,APSL TSS,22,54.151000,17.357000,True,False,False,False
Branched Oak Lake,Lake Constance,constance,Germany,1,20,GegeP_DE_DLR-IMF,DLR-IMF,ISO 11923:1997,20,47.582000,9.503000,False,True,False,False
Branched Oak Lake,Lake Czarne,czarne,Poland,1,11,FicekD_PL_APSL,APSL,APSL TSS,11,54.276000,17.439000,False,True,False,False
Branched Oak Lake,Lake D (Kainui),d kainui,New Zealand,1,3,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,3,-37.678000,175.233000,False,True,False,False
Branched Oak Lake,Lake Dartmouth,dartmouth,Australia,1,4,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,4,-36.572500,147.557000,False,True,False,False
Branched Oak Lake,Lake Elistvere,elistvere,Estonia,1,2,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,2,58.574000,26.704500,False,True,False,False
Branched Oak Lake,Lake Ellesmere (Te Waihora),ellesmere te waihora,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-43.790000,172.450000,False,True,False,False
Branched Oak Lake,Lake Erie,erie,Canada|United States of America (the),1,526,BindingC_CA_ECCC|MooreT_US_UNH|O'DonnellDM_US_UFI|VanderWoudeA_US_NOAA-GLERL,ECCC|NOAA-GLERL|UFI|UNH,APHA 2540 D|ECCC TSS,550,41.742000,-83.254000,True,False,False,False
Branched Oak Lake,Lake Eucumbene,eucumbene,Australia,1,4,AnsteeJ_AU_CSIRO,CSIRO,ISO 11923:1997,4,-36.085500,148.733000,False,True,False,False
Branched Oak Lake,Lake Forsyth (Lake Wairewa),forsyth wairewa,New Zealand,1,3,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,3,-43.801000,172.745000,False,True,False,False
Branched Oak Lake,Lake Gardno,gardno,Poland,1,12,FicekD_PL_APSL,APSL,APSL TSS,17,54.639000,17.143000,False,True,False,False
Branched Oak Lake,Lake Geneva,geneva,Switzerland,1,20,SpyrakosE_GB_STIR,STIR,APHA 2540 D,20,46.438000,6.566500,True,False,False,False
Branched Oak Lake,Lake Głębokie,gebokie,Poland,1,11,FicekD_PL_APSL,APSL,APSL TSS,11,54.277000,17.377000,False,True,False,False
Branched Oak Lake,Lake Hakanoa,hakanoa,New Zealand,1,2,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,2,-37.553000,175.167500,False,True,False,False
Branched Oak Lake,Lake Harihari,harihari,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-38.210000,174.723000,False,True,False,False
Branched Oak Lake,Lake Haupiri,haupiri,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-42.567000,171.693000,False,True,False,False
Branched Oak Lake,Lake Hawea,hawea,New Zealand,1,3,LehmannMK_NZ_UOW_NZ_LK|WertherM_GB_STIR,STIR|UOW,APHA 2540 D,3,-44.540000,169.289000,False,True,False,False
Branched Oak Lake,Lake Hayes,hayes,New Zealand,1,1,LehmannMK_NZ_UOW_NZ_LK,UOW,APHA 2540 D,1,-44.983000,168.807000,False,True,False,False
Branched Oak Lake,Lake Hino,hino,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,57.582000,27.232000,False,True,False,False
Branched Oak Lake,Lake Holstre,holstre,Estonia,1,1,AlikasK_EE_UT-TO,UT-TO,ESS Method 340.2,1,58.276000,25.690000,False,True,False,False
