learner,k,method,available_repeat_n_lakes,available_repeat_mean_delta_mae,available_repeat_median_delta_mae,available_repeat_ci_lo,available_repeat_ci_hi,available_repeat_classification,threshold50_n_lakes,threshold50_n_lakes_excluded,threshold50_mean_delta_mae,threshold50_median_delta_mae,threshold50_ci_lo,threshold50_ci_hi,threshold50_classification,threshold50_positive_lake_fraction,mean_delta_mae_change_threshold50_minus_available,classification_changed
MLP,1,unweighted_d_optimal,24,-0.325166,-0.04853,-0.688888,-0.061483,random_better,24,0,-0.3251660760832386,-0.04852960328668415,-0.6888883948349205,-0.06148276702483486,random_better,0.4166666666666667,-7.608323859820132e-08,False
MLP,1,proposed_weighted_d_optimal,24,-0.03997,-0.013086,-0.074485,-0.009167,random_better,24,0,-0.03996950533572659,-0.013086491323245901,-0.07448494077507246,-0.009167273796764921,random_better,0.4583333333333333,4.94664273410772e-07,False
MLP,3,farthest_point_kennard_stone,24,-0.026897,0.008316,-0.060719,0.00061,unresolved,24,0,-0.026897179299812123,0.008316490278768124,-0.060718918181699416,0.0006102541965610002,unresolved,0.625,-1.79299812122502e-07,False
MLP,3,unweighted_d_optimal,24,-0.003929,0.00757,-0.022547,0.016241,unresolved,24,0,-0.003928947985806359,0.007570373203294025,-0.02254740620292053,0.016241035839445937,unresolved,0.5416666666666666,5.201419364143922e-08,False
MLP,3,proposed_weighted_d_optimal,24,-0.019227,0.003821,-0.049068,0.004192,unresolved,24,0,-0.01922711354236427,0.0038209218369684,-0.0490677493857805,0.004192426309088049,unresolved,0.5833333333333334,-1.1354236426758257e-07,False
MLP,5,farthest_point_kennard_stone,24,-0.008864,-1e-05,-0.029753,0.005673,unresolved,24,0,-0.008864245765868972,-1.0075470376750043e-05,-0.029753140699240416,0.005672703682887134,unresolved,0.5,-2.4576586897182007e-07,False
MLP,5,unweighted_d_optimal,24,-0.004534,0.004438,-0.01671,0.006051,unresolved,24,0,-0.004534095686512894,0.0044380403662849744,-0.016709782464586907,0.0060514127349832495,unresolved,0.5416666666666666,-9.568651289457858e-08,False
MLP,5,proposed_weighted_d_optimal,24,-0.012574,-0.01037,-0.029786,0.001441,unresolved,24,0,-0.012573607723750947,-0.010370238347323774,-0.029786144636172955,0.0014408267113199772,unresolved,0.4583333333333333,3.922762490532472e-07,False
MLP,10,farthest_point_kennard_stone,24,0.000438,0.003445,-0.009139,0.008252,unresolved,18,6,-0.0007621836806804047,0.00337931727095425,-0.012057229416411677,0.00781772707906838,unresolved,0.6111111111111112,-0.0012001836806804047,False
MLP,10,unweighted_d_optimal,24,-0.014682,-0.006078,-0.031096,-0.001999,random_better,18,6,-0.018797586243557974,-0.0044561494532359,-0.040389924772615764,-0.0026801329017707627,random_better,0.3333333333333333,-0.004115586243557973,False
MLP,10,proposed_weighted_d_optimal,24,-0.006524,0.000592,-0.018675,0.003833,unresolved,18,6,-0.009578661928000439,0.0005922708476651,-0.02520089517797655,0.003719247444843584,unresolved,0.5,-0.003054661928000439,False
