learner,k,method,estimand,contrast,query_scope,delta_definition,positive_means,mean_delta_mae,median_delta_mae,ci_lo,ci_hi,classification,n_lakes,mean_n_usable_repeats_per_lake,multiplicity_adjusted,candidate_repeats,usable_repeats,usable_repeat_fraction,n_lakes_available_repeat,n_lakes_usable_repeats_50plus,n_lakes_usable_repeats_lt50,min_usable_repeats_per_lake,median_usable_repeats_per_lake,max_usable_repeats_per_lake,frozen_summary_n_lakes,all_lakes_entered_frozen_summary
XGBoost,3,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.024911,0.003917,-0.056552,0.000508,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,5,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,0.006142,0.012127,-0.004005,0.015908,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,5,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.004229,0.005524,-0.019618,0.009787,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,5,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.007525,0.001391,-0.023651,0.006024,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
XGBoost,10,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.005221,0.001072,-0.013389,0.002157,unresolved,24,75.8,False,2400,1819,0.7579166666666667,24,18,6,1,100.0,100,24,True
XGBoost,10,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.006674,0.000714,-0.021022,0.005067,unresolved,24,75.8,False,2400,1819,0.7579166666666667,24,18,6,1,100.0,100,24,True
XGBoost,10,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.003669,0.006149,-0.016315,0.007053,unresolved,24,75.8,False,2400,1819,0.7579166666666667,24,18,6,1,100.0,100,24,True
MLP,1,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.06778,-0.036043,-0.1278,-0.02282,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,1,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.325166,-0.04853,-0.688888,-0.061483,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,1,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.03997,-0.013086,-0.074485,-0.009167,random_better,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,3,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.026897,0.008316,-0.060719,0.00061,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,3,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.003929,0.00757,-0.022547,0.016241,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,3,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.019227,0.003821,-0.049068,0.004192,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,5,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.008864,-1e-05,-0.029753,0.005673,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,5,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.004534,0.004438,-0.01671,0.006051,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,5,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.012574,-0.01037,-0.029786,0.001441,unresolved,24,100.0,False,2400,2400,1.0,24,24,0,100,100.0,100,24,True
MLP,10,farthest_point_kennard_stone,fourway_common_query,farthest_point_kennard_stone_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,0.000438,0.003445,-0.009139,0.008252,unresolved,24,75.5,False,2400,1812,0.755,24,18,6,1,100.0,100,24,True
MLP,10,unweighted_d_optimal,fourway_common_query,unweighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.014682,-0.006078,-0.031096,-0.001999,random_better,24,75.5,False,2400,1812,0.755,24,18,6,1,100.0,100,24,True
MLP,10,proposed_weighted_d_optimal,fourway_common_query,proposed_weighted_d_optimal_vs_random,Q_all = pool \ (S_random ∪ S_KS ∪ S_unwD ∪ S_wD),MAE_random - MAE_method,method_better_than_random,-0.006524,0.000592,-0.018675,0.003833,unresolved,24,75.5,False,2400,1812,0.755,24,18,6,1,100.0,100,24,True
