learner,k,method,estimand,query_scope,delta_definition,positive_means,threshold_usable_repeats,n_lakes,n_lakes_excluded,mean_delta_mae,median_delta_mae,ci_lo,ci_hi,positive_lake_fraction,classification,bootstrap_n,bootstrap_seed,multiplicity_adjusted
PLSR,10,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,18,6,-0.0040004125897880214,0.0043684481022779505,-0.016523088685274617,0.006755609186461312,0.6666666666666666,unresolved,10000,0,False
PLSR,10,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,18,6,-0.01901311987452098,-0.007589341709282425,-0.033053040014239504,-0.00676734183500631,0.3333333333333333,random_better,10000,0,False
PLSR,10,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,18,6,-0.027054925517821172,-0.008456770757802923,-0.04969012718543347,-0.007799189507407248,0.3333333333333333,random_better,10000,0,False
XGBoost,1,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.045057581737149265,-0.00788083082319235,-0.09024053705595649,-0.009798535198470036,0.4166666666666667,random_better,10000,0,False
XGBoost,1,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.05590997847052529,-0.01818277757304005,-0.09748352266299816,-0.01907116630910628,0.3333333333333333,random_better,10000,0,False
XGBoost,1,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.07661042971552197,-0.00252964341365665,-0.1478356002516906,-0.01816250810718653,0.4583333333333333,random_better,10000,0,False
XGBoost,3,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.014325698239943957,0.0016467564321910751,-0.03555508556613683,0.003009643743133162,0.5416666666666666,unresolved,10000,0,False
XGBoost,3,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.02491120765617273,0.00391698609527135,-0.0565518326703787,0.0005076748296047826,0.5416666666666666,unresolved,10000,0,False
XGBoost,3,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,0.003634952629605096,0.008760101669350475,-0.009925663104444107,0.015172704832435298,0.6666666666666666,unresolved,10000,0,False
XGBoost,5,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,0.006141986243533231,0.012127238644758525,-0.004004940047283835,0.015907668919271093,0.6666666666666666,unresolved,10000,0,False
XGBoost,5,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.007524505811503951,0.0013908401210667,-0.023651385509107767,0.006024281726760571,0.625,unresolved,10000,0,False
XGBoost,5,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,24,0,-0.004229487953397009,0.00552361062917095,-0.01961772201513076,0.009787003380316649,0.5833333333333334,unresolved,10000,0,False
XGBoost,10,farthest_point_kennard_stone,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,18,6,-0.0024938080087257395,0.003367773378702475,-0.011210669403154358,0.005449724729178078,0.5555555555555556,unresolved,10000,0,False
XGBoost,10,proposed_weighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,18,6,-0.007255297992222996,0.004630660352054224,-0.02349614244364155,0.0063071438794983885,0.6111111111111112,unresolved,10000,0,False
XGBoost,10,unweighted_d_optimal,post_hoc_threshold50_fourway_common_query,Q_all with >=50 usable repeats per lake-learner unit,MAE_random - MAE_method,method_better_than_random,50,18,6,-0.010709483659994355,-0.0008620717694045,-0.029398057120005608,0.004655437689013909,0.4444444444444444,unresolved,10000,0,False
