group_id,raw_gloria_ids,Dataset_ID_distinct_count,Organization_ID_distinct_count,TSS_method_distinct_count,Water_body_type_distinct_count,Country_distinct_count,Site_name_distinct_count,TSS_unit_distinct_count,metadata_conflict_count,metadata_conflict_status
Amsterdam-Rhine Canal||Netherlands (the)||1990-09-12||52.175||4.994,GID_602,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Amsterdam-Rijn kanaal Weesp||Netherlands (the)||2013-08-27||52.306||5.022,GID_7257,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Ankeveensche Plassen||Netherlands (the)||1990-09-12||52.273||5.081,GID_603,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
Ankeveensche Plassen||Netherlands (the)||1990-09-12||52.277||5.07,GID_601,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-14||29.609||-85.017",GID_4956;GID_4957,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-14||29.633||-84.91",GID_4919,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-14||29.63||-84.948",GID_4933,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-14||29.649||-84.93",GID_4924,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-14||29.671||-84.873",GID_4904,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-14||29.692||-85.01",GID_4951,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-14||29.702||-85.02",GID_4958,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-15||29.698||-85.18",GID_4968,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-15||29.704||-85.107",GID_4967,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-15||29.7||-85.056",GID_4963,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-16||29.639||-85.085",GID_4964,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-16||29.719||-84.854",GID_4903,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2002-10-16||29.748||-84.8",GID_4900,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-04||29.671||-85.045",GID_4960,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-04||29.683||-85.023",GID_4959,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-04||29.699||-84.935",GID_4928,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-04||29.702||-84.985",GID_4944,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-04||29.715||-84.972",GID_4939,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-04||29.794||-84.875",GID_4905,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-05||29.732||-84.953",GID_4934,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-05||29.754||-84.906",GID_4917,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-05||29.786||-84.876",GID_4906,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2006-04-05||29.795||-84.086",GID_4896,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-26||29.702||-84.88",GID_4911,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-26||29.705||-84.926",GID_4921,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-26||29.722||-84.781",GID_4898,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-26||29.737||-84.816",GID_4901,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-26||29.751||-84.9",GID_4915,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-27||29.611||-85.016",GID_4953,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-27||29.626||-85.088",GID_4966,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-27||29.627||-84.932",GID_4925,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-27||29.638||-85.048",GID_4961,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-27||29.65||-84.932",GID_4926,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-05-27||29.672||-84.879",GID_4909,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
"Apalachicola Bay, FL||United States of America (the)||2013-07-09||29.672||-84.879",GID_4910,1,1,1,1,1,1,1,0,VERIFIED_NO_CONFLICT
