lake,learner,k,estimand,method,mae_log_median,rer_log_median,label_mae_log_median,delta_mae_median_manuscript,mae_method_median,mae_random_median,query_size_median,n_usable_repeats
Branched Oak Lake,XGBoost,5,own_pool,proposed_weighted_d_optimal,0.0972614681981707,0.4270363725201193,0.1697515650274846,,,,,
Branched Oak Lake,XGBoost,5,own_pool,repeated_random,0.0985136735597758,0.18407924602994358,0.1202603009342714,,,,,
Branched Oak Lake,XGBoost,5,own_pool,unweighted_d_optimal,0.0828019522634633,0.360196253481914,0.1294177414809578,,,,,
Branched Oak Lake,XGBoost,10,own_pool,farthest_point_kennard_stone,0.0795393287644537,0.176875780744086,0.0966310171326429,,,,,
Branched Oak Lake,XGBoost,10,own_pool,proposed_weighted_d_optimal,0.085907551816553,0.145237878788791,0.1005046329699305,,,,,
Branched Oak Lake,XGBoost,10,own_pool,repeated_random,0.0947656856171032,0.20785471199836694,0.11958571180680885,,,,,
Branched Oak Lake,XGBoost,10,own_pool,unweighted_d_optimal,0.08355733712232,0.0354598136323007,0.0866291924980144,,,,,
Chaohu,MLP,1,own_pool,farthest_point_kennard_stone,0.3668113434679133,0.3038074257556852,0.5268820152299736,,,,,
Chaohu,MLP,1,own_pool,proposed_weighted_d_optimal,0.3439361462489955,0.2709968572102779,0.4717896656011688,,,,,
Chaohu,MLP,1,own_pool,repeated_random,0.2320412124682009,0.3659536618441714,0.314329505228098,,,,,
Chaohu,MLP,1,own_pool,unweighted_d_optimal,0.3048771950509753,0.5642398836841253,0.6996445734202397,,,,,
Chaohu,MLP,3,own_pool,farthest_point_kennard_stone,0.1373068606888388,0.4077864706014024,0.2318536439147901,,,,,
Chaohu,MLP,3,own_pool,proposed_weighted_d_optimal,0.3373480953444496,0.3114168681200736,0.4899162974521489,,,,,
Chaohu,MLP,3,own_pool,repeated_random,0.1792650436632755,0.3932004336311214,0.2843444994791947,,,,,
Chaohu,MLP,3,own_pool,unweighted_d_optimal,0.1373068606888388,0.4077864706014024,0.2318536439147901,,,,,
Chaohu,MLP,5,own_pool,farthest_point_kennard_stone,0.2014003196419447,0.1709914193132669,0.2429411782264342,,,,,
Chaohu,MLP,5,own_pool,proposed_weighted_d_optimal,0.2192188916768166,0.3460997382364366,0.3352482143784169,,,,,
Chaohu,MLP,5,own_pool,repeated_random,0.19677723990917356,0.32260591818381945,0.28643142882136685,,,,,
Chaohu,MLP,5,own_pool,unweighted_d_optimal,0.1793228700102944,0.1087119487698001,0.2011951925641812,,,,,
Chaohu,MLP,10,own_pool,farthest_point_kennard_stone,0.1790916780762164,0.2470816576323231,0.2378633517996778,,,,,
Chaohu,MLP,10,own_pool,proposed_weighted_d_optimal,0.1514229963421282,0.3263251139070082,0.2247716260933577,,,,,
Chaohu,MLP,10,own_pool,repeated_random,0.19070606458898148,0.31693676180078345,0.27598432245917404,,,,,
Chaohu,MLP,10,own_pool,unweighted_d_optimal,0.1618293302018048,0.2967069065599667,0.2301022641603295,,,,,
Chaohu,PLSR,1,own_pool,farthest_point_kennard_stone,0.2017469219909181,0.6170927791608385,0.5268820152299736,,,,,
Chaohu,PLSR,1,own_pool,proposed_weighted_d_optimal,0.2822051448713702,0.4018411816414257,0.4717896656011688,,,,,
Chaohu,PLSR,1,own_pool,repeated_random,0.210659397372785,0.35553964780899694,0.2980525651097964,,,,,
Chaohu,PLSR,1,own_pool,unweighted_d_optimal,0.1707269641368642,0.7559804246575327,0.6996445734202397,,,,,
Chaohu,PLSR,3,own_pool,farthest_point_kennard_stone,0.1770491291088411,0.2363754630586519,0.2318536439147901,,,,,
Chaohu,PLSR,3,own_pool,proposed_weighted_d_optimal,0.238690270884237,0.5127937624171648,0.4899162974521489,,,,,
Chaohu,PLSR,3,own_pool,repeated_random,0.18282195556043562,0.37117067132836096,0.2880563735530105,,,,,
Chaohu,PLSR,3,own_pool,unweighted_d_optimal,0.1770491291088411,0.2363754630586519,0.2318536439147901,,,,,
Chaohu,PLSR,5,own_pool,farthest_point_kennard_stone,0.1935239789487571,0.2034121905735373,0.2429411782264342,,,,,
Chaohu,PLSR,5,own_pool,proposed_weighted_d_optimal,0.2500583376284021,0.2541098522086587,0.3352482143784169,,,,,
Chaohu,PLSR,5,own_pool,repeated_random,0.20251255982762278,0.2836035178840096,0.27883876067959523,,,,,
Chaohu,PLSR,5,own_pool,unweighted_d_optimal,0.1943814369296461,0.0338663921788168,0.2011951925641812,,,,,
Chaohu,PLSR,10,own_pool,farthest_point_kennard_stone,0.2065942665928226,0.1314581824215076,0.2378633517996778,,,,,
Chaohu,PLSR,10,own_pool,proposed_weighted_d_optimal,0.1631881256808217,0.2739825250324629,0.2247716260933577,,,,,
Chaohu,PLSR,10,own_pool,repeated_random,0.2141043000954945,0.2217686287298827,0.27958625758847,,,,,
Chaohu,PLSR,10,own_pool,unweighted_d_optimal,0.1934024842161048,0.1594933386823167,0.2301022641603295,,,,,
Chaohu,XGBoost,1,own_pool,farthest_point_kennard_stone,0.3118856364705939,0.4080541154645349,0.5268820152299736,,,,,
Chaohu,XGBoost,1,own_pool,proposed_weighted_d_optimal,0.383679105235508,0.1867581359286585,0.4717896656011688,,,,,
Chaohu,XGBoost,1,own_pool,repeated_random,0.1995004720078836,0.35850020116104214,0.3061910351689472,,,,,
Chaohu,XGBoost,1,own_pool,unweighted_d_optimal,0.1792302578697052,0.7438266912701145,0.6996445734202397,,,,,
Chaohu,XGBoost,3,own_pool,farthest_point_kennard_stone,0.1626035477259101,0.2986802020136826,0.2318536439147901,,,,,
Chaohu,XGBoost,3,own_pool,proposed_weighted_d_optimal,0.297290768685834,0.3931804796784173,0.4899162974521489,,,,,
Chaohu,XGBoost,3,own_pool,repeated_random,0.19226790808968797,0.3439621872759361,0.28710866007140445,,,,,
Chaohu,XGBoost,3,own_pool,unweighted_d_optimal,0.1626035477259101,0.2986802020136826,0.2318536439147901,,,,,
Chaohu,XGBoost,5,own_pool,farthest_point_kennard_stone,0.200082094708255,0.176417526525935,0.2429411782264342,,,,,
Chaohu,XGBoost,5,own_pool,proposed_weighted_d_optimal,0.2359628455377434,0.296154794032864,0.3352482143784169,,,,,
Chaohu,XGBoost,5,own_pool,repeated_random,0.20853877810309096,0.2684557432492928,0.2820573775047316,,,,,
Chaohu,XGBoost,5,own_pool,unweighted_d_optimal,0.1871401319376292,0.0698578318340786,0.2011951925641812,,,,,
Chaohu,XGBoost,10,own_pool,farthest_point_kennard_stone,0.175241493363322,0.2632681971807588,0.2378633517996778,,,,,
Chaohu,XGBoost,10,own_pool,proposed_weighted_d_optimal,0.1514524171681021,0.3261942218314542,0.2247716260933577,,,,,
Chaohu,XGBoost,10,own_pool,repeated_random,0.21512500023575531,0.2372664218886602,0.289361868248111,,,,,
Chaohu,XGBoost,10,own_pool,unweighted_d_optimal,0.1780989425591635,0.226000902385395,0.2301022641603295,,,,,
Dianchi,MLP,1,own_pool,farthest_point_kennard_stone,0.3434763481562523,-0.5861254735988773,0.2165505491287891,,,,,
Dianchi,MLP,1,own_pool,proposed_weighted_d_optimal,0.3079991630453038,-1.4236104812761046,0.1270827763737958,,,,,
Dianchi,MLP,1,own_pool,repeated_random,0.33107327003407416,-1.7524748047771523,0.1206067776777127,,,,,
Dianchi,MLP,1,own_pool,unweighted_d_optimal,3.155023272827042,-30.37070390700479,0.1005722720941405,,,,,
Dianchi,MLP,3,own_pool,farthest_point_kennard_stone,0.366114307515078,-2.6567933042010523,0.100118943153429,,,,,
Dianchi,MLP,3,own_pool,proposed_weighted_d_optimal,0.2270586701961397,-1.1764282252230591,0.1043262790844327,,,,,
Dianchi,MLP,3,own_pool,repeated_random,0.3091626268275559,-1.7292142898599268,0.1107393964437478,,,,,
Dianchi,MLP,3,own_pool,unweighted_d_optimal,0.0979327416719023,-0.0057275752818057,0.0973750188635185,,,,,
Dianchi,MLP,5,own_pool,farthest_point_kennard_stone,0.1535508439427531,-0.4447061848558368,0.1062851679499203,,,,,
Dianchi,MLP,5,own_pool,proposed_weighted_d_optimal,0.1443652769387086,-0.4134927546889341,0.1021337196988685,,,,,
Dianchi,MLP,5,own_pool,repeated_random,0.18586990401653858,-0.6861762525212338,0.1098601649408818,,,,,
Dianchi,MLP,5,own_pool,unweighted_d_optimal,0.1355837909954522,-0.424341059064474,0.0951905345206399,,,,,
Dianchi,MLP,10,own_pool,farthest_point_kennard_stone,0.1252940993088477,-0.2246867928034135,0.1023070533611053,,,,,
Dianchi,MLP,10,own_pool,proposed_weighted_d_optimal,0.1219105982403066,-0.121110801510852,0.1087408995300975,,,,,
Dianchi,MLP,10,own_pool,repeated_random,0.13545740009687068,-0.29125552455849013,0.10561825610618915,,,,,
Dianchi,MLP,10,own_pool,unweighted_d_optimal,0.1444424018021169,-0.5089118534629529,0.0957261992352324,,,,,
Dianchi,PLSR,1,own_pool,farthest_point_kennard_stone,0.4317190257108762,-0.9936177373438224,0.2165505491287891,,,,,
Dianchi,PLSR,1,own_pool,proposed_weighted_d_optimal,0.2627927475870845,-1.067886336817617,0.1270827763737958,,,,,
Dianchi,PLSR,1,own_pool,repeated_random,0.2886613909809007,-1.4360606182317786,0.1248956891296579,,,,,
Dianchi,PLSR,1,own_pool,unweighted_d_optimal,2.380043837384419,-22.665007871220244,0.1005722720941405,,,,,
Dianchi,PLSR,3,own_pool,farthest_point_kennard_stone,0.2435997964947115,-1.4331038112374468,0.100118943153429,,,,,
Dianchi,PLSR,3,own_pool,proposed_weighted_d_optimal,0.2307408012681761,-1.211722599290716,0.1043262790844327,,,,,
Dianchi,PLSR,3,own_pool,repeated_random,0.25703589923761705,-1.1771369231621807,0.11009589347065521,,,,,
Dianchi,PLSR,3,own_pool,unweighted_d_optimal,0.1102778687377416,-0.1325067630255374,0.0973750188635185,,,,,
Dianchi,PLSR,5,own_pool,farthest_point_kennard_stone,0.1398234692039198,-0.3155501256233693,0.1062851679499203,,,,,
Dianchi,PLSR,5,own_pool,proposed_weighted_d_optimal,0.1868794119597404,-0.8297522523728103,0.1021337196988685,,,,,
Dianchi,PLSR,5,own_pool,repeated_random,0.1839036320701346,-0.7233448026125613,0.10571194094318154,,,,,
Dianchi,PLSR,5,own_pool,unweighted_d_optimal,0.1441131589374877,-0.5139441597189313,0.0951905345206399,,,,,
Dianchi,PLSR,10,own_pool,farthest_point_kennard_stone,0.1206902292294246,-0.1796862822993321,0.1023070533611053,,,,,
Dianchi,PLSR,10,own_pool,proposed_weighted_d_optimal,0.1692601914442381,-0.5565457579457709,0.1087408995300975,,,,,
Dianchi,PLSR,10,own_pool,repeated_random,0.17533832632205992,-0.6712411752840886,0.10488044951868164,,,,,
Dianchi,PLSR,10,own_pool,unweighted_d_optimal,0.1394559058189042,-0.4568206234534246,0.0957261992352324,,,,,
Dianchi,XGBoost,1,own_pool,farthest_point_kennard_stone,0.2557841378357007,-0.1811751900560932,0.2165505491287891,,,,,
Dianchi,XGBoost,1,own_pool,proposed_weighted_d_optimal,0.2261741761474243,-0.7797389607288373,0.1270827763737958,,,,,
Dianchi,XGBoost,1,own_pool,repeated_random,0.2588646833362,-1.1630527183863395,0.12038642894735904,,,,,
Dianchi,XGBoost,1,own_pool,unweighted_d_optimal,0.6066480652724909,-5.03196092045161,0.1005722720941405,,,,,
Dianchi,XGBoost,3,own_pool,farthest_point_kennard_stone,0.3970954996992917,-2.9662371328509183,0.100118943153429,,,,,
Dianchi,XGBoost,3,own_pool,proposed_weighted_d_optimal,0.1568043667896159,-0.5030188283866973,0.1043262790844327,,,,,
Dianchi,XGBoost,3,own_pool,repeated_random,0.2300026344064633,-1.0147888808980798,0.11037859118486834,,,,,
Dianchi,XGBoost,3,own_pool,unweighted_d_optimal,0.1648842264932359,-0.6932907586023798,0.0973750188635185,,,,,
Dianchi,XGBoost,5,own_pool,farthest_point_kennard_stone,0.1881433768576615,-0.7701752068036362,0.1062851679499203,,,,,
Dianchi,XGBoost,5,own_pool,proposed_weighted_d_optimal,0.2432681784312163,-1.381859442012635,0.1021337196988685,,,,,
Dianchi,XGBoost,5,own_pool,repeated_random,0.22405489014365743,-1.0284852832857236,0.10654499629135375,,,,,
Dianchi,XGBoost,5,own_pool,unweighted_d_optimal,0.1700510206072612,-0.786427753550559,0.0951905345206399,,,,,
Dianchi,XGBoost,10,own_pool,farthest_point_kennard_stone,0.1494518305967911,-0.460816444992487,0.1023070533611053,,,,,
Dianchi,XGBoost,10,own_pool,proposed_weighted_d_optimal,0.2049613154327764,-0.8848593994521152,0.1087408995300975,,,,,
Dianchi,XGBoost,10,own_pool,repeated_random,0.16963459913435375,-0.6161520527208652,0.10524010039590515,,,,,
Dianchi,XGBoost,10,own_pool,unweighted_d_optimal,0.1254258387840848,-0.3102560916819564,0.0957261992352324,,,,,
Eagle Creek Reservoir,MLP,1,own_pool,farthest_point_kennard_stone,0.2836931748533512,-0.529139972435664,0.1855246574387012,,,,,
Eagle Creek Reservoir,MLP,1,own_pool,proposed_weighted_d_optimal,0.113385846333347,0.3221146537165881,0.1672640516219227,,,,,
Eagle Creek Reservoir,MLP,1,own_pool,repeated_random,0.14707506674021975,0.2754178283283843,0.1882941067890325,,,,,
Eagle Creek Reservoir,MLP,1,own_pool,unweighted_d_optimal,0.2836931748533512,-0.529139972435664,0.1855246574387012,,,,,
Eagle Creek Reservoir,MLP,3,own_pool,farthest_point_kennard_stone,0.1031099566519037,0.3140416085599953,0.1503151810357844,,,,,
