lake,learner,k,rep,worst_metric,diff_val
Lake Erie,XGBoost,3,7,mae_log,8.326672684688674e-17
Lake Erie,MLP,3,7,mae_log,8.326672684688674e-17
Lake Erie,PLSR,5,7,anomaly_r2,7.105427357601002e-15
Lake Erie,XGBoost,5,7,mae_log,8.326672684688674e-17
Lake Erie,MLP,5,7,rer_log,5.551115123125783e-17
Lake Erie,PLSR,10,7,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,10,7,anomaly_r2,8.526512829121202e-14
Lake Erie,MLP,10,7,mae_log,8.326672684688674e-17
Lake Erie,PLSR,1,8,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,1,8,mae_log,8.326672684688674e-17
Lake Erie,MLP,1,8,mae_log,0.0
Lake Erie,PLSR,3,8,rer_log,2.42861286636753e-17
Lake Erie,XGBoost,3,8,anomaly_r2,1.3877787807814457e-17
Lake Erie,MLP,3,8,mae_log,8.326672684688674e-17
Lake Erie,PLSR,5,8,mae_log,0.0
Lake Erie,XGBoost,5,8,mae_log,5.551115123125783e-17
Lake Erie,MLP,5,8,mae_log,8.326672684688674e-17
Lake Erie,PLSR,10,8,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,10,8,mae_log,5.551115123125783e-17
Lake Erie,MLP,10,8,mae_log,0.0
Lake Erie,PLSR,1,9,rer_log,2.7755575615628914e-17
Lake Erie,XGBoost,1,9,mae_log,5.551115123125783e-17
Lake Erie,MLP,1,9,mae_log,5.551115123125783e-17
Lake Erie,PLSR,3,9,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,3,9,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,3,9,mae_log,5.551115123125783e-17
Lake Erie,PLSR,5,9,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,9,mae_log,8.326672684688674e-17
Lake Erie,MLP,5,9,mae_log,8.326672684688674e-17
Lake Erie,PLSR,10,9,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,10,9,mae_log,5.551115123125783e-17
Lake Erie,MLP,10,9,mae_log,5.551115123125783e-17
Lake Erie,PLSR,1,10,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,1,10,mae_log,5.551115123125783e-17
Lake Erie,MLP,1,10,anomaly_r2,1.8189894035458565e-12
Lake Erie,PLSR,3,10,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,3,10,mae_log,0.0
Lake Erie,MLP,3,10,anomaly_r2,7.275957614183426e-12
Lake Erie,PLSR,5,10,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,5,10,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,5,10,anomaly_r2,1.4551915228366852e-11
Lake Erie,PLSR,10,10,rer_log,6.938893903907228e-17
Lake Erie,XGBoost,10,10,mae_log,0.0
Lake Erie,MLP,10,10,mae_log,5.551115123125783e-17
Lake Erie,PLSR,1,11,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,1,11,rer_log,5.551115123125783e-17
Lake Erie,MLP,1,11,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,3,11,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,3,11,rer_log,5.551115123125783e-17
Lake Erie,MLP,3,11,anomaly_r2,7.275957614183426e-12
Lake Erie,PLSR,5,11,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,11,rer_log,5.551115123125783e-17
Lake Erie,MLP,5,11,rer_log,5.551115123125783e-17
Lake Erie,PLSR,10,11,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,10,11,anomaly_r2,7.275957614183426e-12
Lake Erie,MLP,10,11,mae_log,2.7755575615628914e-17
Lake Erie,PLSR,1,12,anomaly_r2,7.275957614183426e-12
Lake Erie,XGBoost,1,12,rer_log,5.551115123125783e-17
Lake Erie,MLP,1,12,mae_log,0.0
Lake Erie,PLSR,3,12,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,3,12,mae_log,2.7755575615628914e-17
Lake Erie,MLP,3,12,mae_log,8.326672684688674e-17
Lake Erie,PLSR,5,12,rer_log,4.163336342344337e-17
Lake Erie,XGBoost,5,12,mae_log,0.0
Lake Erie,MLP,5,12,mae_log,5.551115123125783e-17
Lake Erie,PLSR,10,12,anomaly_r2,2.842170943040401e-14
Lake Erie,XGBoost,10,12,anomaly_r2,6.821210263296962e-13
Lake Erie,MLP,10,12,rer_log,2.7755575615628914e-17
Lake Erie,PLSR,1,13,rer_log,2.7755575615628914e-17
Lake Erie,XGBoost,1,13,anomaly_r2,8.326672684688674e-17
Lake Erie,MLP,1,13,mae_log,0.0
Lake Erie,PLSR,3,13,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,3,13,mae_log,8.326672684688674e-17
Lake Erie,MLP,3,13,anomaly_r2,7.275957614183426e-12
Lake Erie,PLSR,5,13,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,13,mae_log,5.551115123125783e-17
Lake Erie,MLP,5,13,mae_log,8.326672684688674e-17
Lake Erie,PLSR,10,13,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,10,13,anomaly_r2,1.4551915228366852e-11
Lake Erie,MLP,10,13,mae_log,5.551115123125783e-17
Lake Erie,PLSR,1,14,anomaly_r2,1.4551915228366852e-11
Lake Erie,XGBoost,1,14,mae_log,0.0
Lake Erie,MLP,1,14,mae_log,0.0
Lake Erie,PLSR,3,14,rer_log,9.71445146547012e-17
Lake Erie,XGBoost,3,14,anomaly_r2,2.7755575615628914e-17
Lake Erie,MLP,3,14,mae_log,5.551115123125783e-17
Lake Erie,PLSR,5,14,mae_log,0.0
Lake Erie,XGBoost,5,14,mae_log,0.0
Lake Erie,MLP,5,14,anomaly_r2,2.9103830456733704e-11
Lake Erie,PLSR,10,14,mae_log,0.0
Lake Erie,XGBoost,10,14,mae_log,5.551115123125783e-17
Lake Erie,MLP,10,14,rer_log,6.245004513516506e-17
Lake Erie,PLSR,1,15,rer_log,1.1102230246251565e-16
Lake Erie,XGBoost,1,15,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,1,15,mae_log,0.0
Lake Erie,PLSR,3,15,rer_log,8.153200337090993e-17
Lake Erie,XGBoost,3,15,rer_log,5.551115123125783e-17
Lake Erie,MLP,3,15,mae_log,0.0
Lake Erie,PLSR,5,15,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,15,mae_log,5.551115123125783e-17
Lake Erie,MLP,5,15,mae_log,0.0
Lake Erie,PLSR,10,15,rer_log,5.551115123125783e-17
Lake Erie,XGBoost,10,15,anomaly_r2,5.551115123125783e-17
Lake Erie,MLP,10,15,anomaly_r2,3.637978807091713e-12
Lake Erie,PLSR,1,16,mae_log,0.0
Lake Erie,XGBoost,1,16,rer_log,8.326672684688674e-17
Lake Erie,MLP,1,16,mae_log,5.551115123125783e-17
Lake Erie,PLSR,3,16,rer_log,8.326672684688674e-17
Lake Erie,XGBoost,3,16,mae_log,8.326672684688674e-17
Lake Erie,MLP,3,16,anomaly_r2,1.4551915228366852e-11
Lake Erie,PLSR,5,16,mae_log,5.551115123125783e-17
Lake Erie,XGBoost,5,16,mae_log,2.7755575615628914e-17
Lake Erie,MLP,5,16,anomaly_r2,9.094947017729282e-13
Lake Erie,PLSR,10,16,anomaly_r2,5.820766091346741e-11
Lake Erie,XGBoost,10,16,anomaly_r2,2.9103830456733704e-11
Lake Erie,MLP,10,16,mae_log,8.326672684688674e-17
