lake,learner,k,method,median_rer_log,median_mae_log,median_demeaned_spearman
Dianchi,PLSR,3,calibrated,-1.196239474250473,0.2551225156715957,0.5225665107428179
Dianchi,PLSR,5,calibrated,-0.8430363705896833,0.20251696113258205,0.3227517914708058
Dianchi,PLSR,10,calibrated,-0.7034212161671802,0.18334951986505343,0.2533811884683434
Dianchi,XGBoost,0,source_only,,0.3071978299417879,0.2134924155757431
Dianchi,XGBoost,1,calibrated,-1.204104418581187,0.2562317391760235,0.2158548079015682
Dianchi,XGBoost,3,calibrated,-0.9946865082430891,0.23136900557522205,0.21072328806588325
Dianchi,XGBoost,5,calibrated,-0.930019462222733,0.2043294284915556,0.088438475921452
Dianchi,XGBoost,10,calibrated,-0.6110127744512854,0.16687301511968894,0.40499066979031734
Eagle Creek Reservoir,MLP,0,source_only,,0.1108167725555671,0.7285075663241508
Eagle Creek Reservoir,MLP,1,calibrated,0.2762674217355797,0.1302906088852774,0.7262622414409347
Eagle Creek Reservoir,MLP,3,calibrated,0.2665795452564204,0.1218843387936144,0.7280694340290794
Eagle Creek Reservoir,MLP,5,calibrated,0.17911292123925684,0.13259142464281445,0.6887964866153907
Eagle Creek Reservoir,MLP,10,calibrated,0.1944463436030875,0.12276879028540635,0.7536434993161258
Eagle Creek Reservoir,PLSR,0,source_only,,0.169471290185849,0.538039805676227
Eagle Creek Reservoir,PLSR,1,calibrated,0.06852321136671036,0.1794327889529338,0.5355647486459185
Eagle Creek Reservoir,PLSR,3,calibrated,0.0041341831696011435,0.16490969019714935,0.5342082853891457
Eagle Creek Reservoir,PLSR,5,calibrated,0.11619345826313726,0.14150278846471304,0.5924568928119567
Eagle Creek Reservoir,PLSR,10,calibrated,0.1902308662712947,0.12348302060996745,0.6945557869574265
Eagle Creek Reservoir,XGBoost,0,source_only,,0.1443276805093687,0.3483055862047691
Eagle Creek Reservoir,XGBoost,1,calibrated,0.04882027341966875,0.1611917418356564,0.34616534900236534
Eagle Creek Reservoir,XGBoost,3,calibrated,0.0589153967853955,0.15396067836813485,0.3446151692294511
