Site_name,Country,Water_body_type,n_raw,lat_min,lat_max,lon_min,lon_max,TSS_min,TSS_max,TSS_median,n_group,n_unique_dates,is_lake_reservoir,eligible_n_group_ge20,eligible_n_group_ge15,eligible_n_group_ge10,tss_dynamic_range_ratio
"Bangs Lake, MS",United States of America (the),2,4,30.3491,30.3747,-88.4713333333333,-88.4649,26.28,33.181818181818,26.86924323720115,4,2,False,False,False,False,1.2626262626262557
Bassenthwaite Lake,United Kingdom of Great Britain and Northern Ireland (the),1,4,54.65094,54.67329,-3.23327,-3.21051,1.177,1.797,1.297,4,1,True,False,False,False,1.5267629566694987
"Bayou Cassotte, MS",United States of America (the),2,3,30.3360188888889,30.351245,-88.5123444444444,-88.5078555555556,11.6,22.3,19.04,3,2,False,False,False,False,1.9224137931034484
Victory Lake,United States of America (the),1,3,41.43943,41.43943,-96.5358,-96.5358,15.1,22.9,16.2,3,3,True,False,False,False,1.5165562913907285
Windermere,United Kingdom of Great Britain and Northern Ireland (the),1,3,54.31371,54.415,-2.96901,-2.95065,1.744,5.842,2.591,3,1,True,False,False,False,3.3497706422018347
Lake Raigastvere,Estonia,1,3,58.5914,58.59241,26.64911,26.65193,4.8,8.75,8.0,3,3,True,False,False,False,1.8229166666666667
Lake Verevi,Estonia,1,3,58.23071,58.231205,26.40436,26.405061,3.83,5.33,4.4,3,3,True,False,False,False,1.391644908616188
Round Lake,United States of America (the),1,3,45.99603,46.01791,-91.33257,-91.32174,1.07,1.13,1.07,3,1,True,False,False,False,1.05607476635514
Fence Lake,United States of America (the),1,3,45.93653,45.95482,-89.85186,-89.82586,1.2,1.3,1.2,3,1,True,False,False,False,1.0833333333333335
Shawano Lake,United States of America (the),1,3,44.80799,44.81625,-88.54199,-88.48612,3.22,5.76,3.44,3,1,True,False,False,False,1.7888198757763973
"Doctor's Lake, FL",United States of America (the),2,3,30.1023,30.1386166666667,-81.7579333333333,-81.7289833333333,12.0833333333329,28.1333333333326,24.6153846153853,3,1,False,False,False,False,2.3282758620689883
Big Sand Lake,United States of America (the),1,3,46.06086,46.06626,-88.99247,-88.95962,3.2,4.4,4.0,3,1,True,False,False,False,1.375
Butternut Lake,United States of America (the),1,3,45.90826,45.91665,-88.99912,-88.98589,1.13,1.53,1.4,3,1,True,False,False,False,1.3539823008849559
"Carl Blackwell Lake, OK",United States of America (the),1,3,36.1312138888889,36.1404694444444,-97.2691694444444,-97.2525277777778,16.3670947353678,20.3619293924466,17.2428714367982,3,1,True,False,False,False,1.2440772001182547
Como,Italy,1,3,45.97506,46.056514,9.245474,9.281901,0.76923076923077,1.0,0.999999999999999,3,1,True,False,False,False,1.2999999999999987
Beaver Dam Lake,United States of America (the),1,3,43.45797,43.52517,-88.90918,-88.85469,45.3,64.0,49.3,3,1,True,False,False,False,1.4128035320088301
"Gulf of Mexcio, FL",United States of America (the),3,3,26.70345,37.7548127777778,-82.2830333333333,-77.9009958333333,2.48333333333339,16.4757281553397,10.5400000000001,3,2,False,False,False,False,6.6345214048346275
"Redfish Bay, TX",United States of America (the),2,3,27.8639111111111,27.909725,-97.1641138888889,-97.0888666666667,11.31,17.03,12.71,3,1,False,False,False,False,1.5057471264367817
Spirit River Flowage,United States of America (the),1,3,45.44192,45.44666,-89.80188,-89.74566,9.25,10.5,10.3,3,1,True,False,False,False,1.135135135135135
Fox Lake,United States of America (the),1,3,43.5843,43.59275,-88.93406,-88.90536,16.5,22.5,19.5,3,1,True,False,False,False,1.3636363636363635
Lake Areare,New Zealand,1,3,-37.668512,-37.667683,175.20027,175.201517,2.4,15.19,3.0,3,2,True,False,False,False,6.329166666666667
Rotoroa,New Zealand,1,3,-41.89422,-41.81472,172.6179,172.6627,0.1,0.15,0.1333,3,2,True,False,False,False,1.4999999999999998
Lake Forsyth (Lake Wairewa),New Zealand,1,3,-43.807677,-43.797634,172.733687,172.759261,4.8,13.0,7.1,3,1,True,False,False,False,2.7083333333333335
Lac Courte Oreilles,United States of America (the),1,3,45.89039,45.89772,-91.46308,-91.39736,2.17,2.5,2.17,3,1,True,False,False,False,1.1520737327188941
Lake Wisconsin,United States of America (the),1,3,43.36398,43.3927,-89.64009,-89.54178,13.3,18.0,14.7,3,1,True,False,False,False,1.3533834586466165
Lake Wanaka,New Zealand,1,3,-44.63662,-44.396049,169.0826,169.14987,2.7,6.0,4.7,3,1,True,False,False,False,2.222222222222222
"Lydia Ann Channel, TX",United States of America (the),2,3,27.8623333333333,27.8793666666667,-97.0537,-97.04805,1.6,20.6999999999997,20.0400000000003,3,2,False,False,False,False,12.937499999999812
Lake Pangodi,Estonia,1,3,58.196409,58.19748,26.57168,26.574094,4.17,5.25,4.25,3,3,True,False,False,False,1.2589928057553956
Lake D (Kainui),New Zealand,1,3,-37.677601,-37.6753,175.231925,175.23353,2.0,9.8,8.6,3,3,True,False,False,False,4.9
Lake Chetac,United States of America (the),1,3,45.70339,45.72491,-91.50582,-91.48252,12.0,14.7,12.7,3,1,True,False,False,False,1.2249999999999999
"Point Aux Chenes Bay, MS",United States of America (the),2,3,30.3296825,30.3517294444444,-88.4468505555556,-88.4145516666667,5.92,17.62,16.6722284019279,3,2,False,False,False,False,2.9763513513513518
Lake Victoria,Australia,1,3,-34.0315863,-33.9443456,141.2447667,141.2963166,19.778,26.0,25.417,3,1,True,False,False,False,1.3145919708767317
"Teakettle Creek, GA",United States of America (the),2,3,31.44505,31.4832333333333,-81.3180333333333,-81.2995333333333,46.3007518796994,66.2096774193545,50.0296296296297,3,1,False,False,False,False,1.429991409024703
Te Anau,New Zealand,1,3,-45.402106,-45.293811,167.653576,167.74714,0.4167,2.4778,0.51,3,2,True,False,False,False,5.946244300455962
Lake Rotorua,New Zealand,1,3,-42.406133,-38.070883,173.581636,176.27127,11.6,15.4,13.8,3,2,True,False,False,False,1.3275862068965518
Wachtels Lagoon,Australia,1,3,-34.238669,-34.2312038,140.3653553,140.3818997,37.111,42.178,38.0,3,1,True,False,False,False,1.1365363369351404
Long Lake,United States of America (the),1,3,45.67664,45.75786,-91.71772,-91.64657,4.4,5.6,4.4,3,1,True,False,False,False,1.2727272727272725
Lake Koshkonong,United States of America (the),1,3,42.85434,42.87826,-88.98946,-88.95701,30.4,61.6,42.0,3,1,True,False,False,False,2.0263157894736845
Mekong River,Viet Nam,3,3,9.49528,9.68556,106.294,106.689,10.74,33.69,13.85,3,2,False,False,False,False,3.136871508379888
Lake Taharoa,New Zealand,1,3,-38.167917,-35.80769,173.64632,174.749,1.8,10.0,8.8,3,2,True,False,False,False,5.555555555555555
"Monie Bay, MD",United States of America (the),2,3,38.21215,38.22903,-75.83956,-75.82107,14.3,27.4,23.6,3,1,False,False,False,False,1.9160839160839158
Lake Hawea,New Zealand,1,3,-44.57966,-44.45665,169.27474,169.3134,0.53,2.0,0.63,3,2,True,False,False,False,3.773584905660377
Lake Zug,Switzerland,1,3,47.09385,47.14973,8.47681,8.49256,0.87,1.55,1.45,3,1,True,False,False,False,1.781609195402299
Lake Zurich,Switzerland,1,3,47.20765,47.24321,8.67923,8.8284,1.32,2.1,1.36,3,1,True,False,False,False,1.5909090909090908
Rosarito,Spain,1,2,40.1016666666667,40.1038888888889,-5.31305555555556,-5.31,1.55,1.85,1.7000000000000002,2,1,True,False,False,False,1.1935483870967742
Spiegel- en Blijkpolderplas,Netherlands (the),1,2,52.26259,52.27417,5.05992,5.06468,1.0,9.2,5.1,2,1,True,False,False,False,9.2
Lake Benmore,New Zealand,1,2,-44.410013,-44.388969,170.222602,170.225828,0.7,0.8,0.75,2,1,True,False,False,False,1.142857142857143
Lake Elistvere,Estonia,1,2,58.57109,58.57731,26.69844,26.71132,3.75,6.22,4.984999999999999,2,2,True,False,False,False,1.6586666666666665
Ankeveensche Plassen,Netherlands (the),1,2,52.2727,52.2772,5.0701,5.0808,5.3,18.8,12.05,2,1,True,False,False,False,3.547169811320755
Baltic Sea,Sweden,3,3,58.58869,58.84298,17.46938,17.7898,0.67,0.85,0.72,2,2,False,False,False,False,1.2686567164179103
"Baltimore Harbor, MD",United States of America (the),2,2,39.19041,39.25523,-76.60058,-76.49053,8.1,13.7,10.899999999999999,2,1,False,False,False,False,1.691358024691358
Wijde Blik,Netherlands (the),1,2,52.22546,52.23229,5.05798,5.05888,7.2,17.0,12.1,2,2,True,False,False,False,2.361111111111111
Shirakaba,Japan,1,2,36.10405556,36.10688889,138.2323889,138.2375,5.988888889,9.066666667,7.527777778,2,1,True,False,False,False,1.5139146567993707
Akan,Japan,1,2,43.44889,43.46128,144.101,144.1023,1.233333333,1.246666667,1.24,2,1,True,False,False,False,1.010810811354273
"Crooked Bayou, MS",United States of America (the),2,2,30.348767,30.359467,-88.419483,-88.418683,23.3823943661972,30.8194444444445,27.10091940532085,2,1,False,False,False,False,1.3180619555796511
"Grand Bay, MS",United States of America (the),2,2,30.3514444444444,30.3785938888889,-88.3537886111111,-88.3509011111111,7.01,7.86,7.4350000000000005,2,1,False,False,False,False,1.1212553495007134
Lake Arapuni,New Zealand,1,2,-38.1297,-38.11595,175.62385,175.63118,3.6,4.4,4.0,2,1,True,False,False,False,1.2222222222222223
Lake Ahijarv,Estonia,1,2,57.7127,57.71287,26.50095,26.50159,4.0,5.67,4.835,2,2,True,False,False,False,1.4175
"Intracoastal Waterway, TX",United States of America (the),2,2,28.1348583333333,28.1640027777778,-96.9117305555556,-96.8792888888889,16.74,38.03,27.384999999999998,2,1,False,False,False,False,2.271804062126643
Lake Rotokakahi,New Zealand,1,2,-38.2185,-38.20885,176.31507,176.33825,0.8,1.2,1.0,2,1,True,False,False,False,1.4999999999999998
Lake Kaiavere,Estonia,1,2,58.5949,58.59589,26.68855,26.69183,6.4,10.67,8.535,2,2,True,False,False,False,1.6671874999999998
Lake Manapouri,New Zealand,1,2,-45.522231,-45.493883,167.55778,167.57941,3.0,6.0,4.5,2,1,True,False,False,False,2.0
Lake Koorkula Valgjarv,Estonia,1,2,57.89931,57.90096,25.870958,25.87293,2.67,5.25,3.96,2,2,True,False,False,False,1.9662921348314608
"Lake Perry, OK",United States of America (the),1,2,36.2450388888889,36.2486666666667,-97.340725,-97.3374472222222,3.35452932920966,3.7685815761882,3.56155545269893,2,1,True,False,False,False,1.1234308024595785
Lake Karapiro,New Zealand,1,2,-37.93555,-37.92795,175.545,175.55038,3.6,4.0,3.8,2,1,True,False,False,False,1.1111111111111112
Monowai,New Zealand,1,2,-45.872909,-45.832835,167.364003,167.497782,0.5333,0.6333,0.5832999999999999,2,1,True,False,False,False,1.1875117194824676
Paringa,New Zealand,1,2,-43.71968,-43.71143,169.389,169.4106,0.5333,0.8333,0.6833,2,2,True,False,False,False,1.562535158447403
Lake Burley Griffin,Australia,1,2,-35.2964142,-35.2880864,149.0976313,149.1018958,11.333,15.333,13.333,2,1,True,False,False,False,1.352951557398747
Lake Hakanoa,New Zealand,1,2,-37.554238,-37.55155,175.16631,175.1689,23.2,32.0,27.6,2,1,True,False,False,False,1.3793103448275863
Lake Kaiu,Estonia,1,2,58.643563,58.64537,26.83995,26.840823,5.0,6.0,5.5,2,2,True,False,False,False,1.2
Lake Otepaa Valgjarv,Estonia,1,2,58.08791,58.08807,26.64253,26.64279,4.25,25.5,14.875,2,2,True,False,False,False,6.0
Lake Maraetai,New Zealand,1,2,-38.365883,-38.3629,175.78482,175.78778,6.4,7.2,6.800000000000001,2,1,True,False,False,False,1.125
Lake Tarawera,New Zealand,1,2,-38.2116,-38.199633,176.42405,176.43118,0.8,2.0,1.4,2,1,True,False,False,False,2.5
Lake Whangape,New Zealand,1,2,-37.469659,-37.466544,175.04478,175.06083,9.2,11.4,10.3,2,2,True,False,False,False,1.2391304347826089
Lake Waahi,New Zealand,1,2,-37.56021,-37.554647,175.11911,175.13141,82.0,133.33,107.665,2,1,True,False,False,False,1.6259756097560978
Lake Wakatipu,New Zealand,1,2,-45.031811,-45.019462,168.418587,168.69624,0.6,2.0,1.3,2,2,True,False,False,False,3.3333333333333335
Loenderveense Plas oost,Netherlands (the),1,2,52.20096,52.20096,5.05959,5.05959,20.5,20.79,20.645,2,2,True,False,False,False,1.0141463414634146
Lake Ohau,New Zealand,1,2,-44.28171,-44.19255,169.85275,169.92611,1.3,1.67,1.4849999999999999,2,2,True,False,False,False,1.2846153846153845
Lake Okataina,New Zealand,1,2,-38.127967,-38.1148,176.4099,176.42325,0.4,0.6,0.5,2,1,True,False,False,False,1.4999999999999998
Lake Puhajarv,Estonia,1,2,58.03845,58.042494,26.46287,26.467808,3.25,4.43,3.84,2,2,True,False,False,False,1.363076923076923
Lake Rotokauri,New Zealand,1,2,-37.762783,-37.759533,175.19588,175.19887,4.8,6.4,5.6,2,1,True,False,False,False,1.3333333333333335
Lake Okareka,New Zealand,1,2,-38.174867,-38.167083,176.36,176.3667,1.0,1.4,1.2,2,1,True,False,False,False,1.4
Lake Nouni,Estonia,1,2,58.128955,58.12983,26.514296,26.51727,1.08,2.5,1.79,2,2,True,False,False,False,2.314814814814815
Lake Nohipalu Valgjarv,Estonia,1,2,57.94212,57.94221,27.34659,27.34747,2.0,5.75,3.875,2,2,True,False,False,False,2.875
"Aransas Pass, TX",United States of America (the),2,2,27.833885,27.8413666666667,-97.04935,-97.037534,9.55,18.5304347826088,14.0402173913044,2,2,False,False,False,False,1.9403596631003979
Lake Ruusmae,Estonia,1,2,57.63549,57.63582,27.08488,27.08536,4.25,4.5,4.375,2,2,True,False,False,False,1.0588235294117647
"Blackburn Bay, FL",United States of America (the),2,2,27.1388833333333,27.1509666666667,-82.4824333333333,-82.4707,14.3946666666667,20.4651162790696,17.42989147286815,2,1,False,False,False,False,1.4217151916730424
"Black River, SC",United States of America (the),4,2,33.4084666666667,33.4769166666667,-79.2708333333333,-79.251129,39.7142857142858,41.6697247706422,40.692005242464,2,1,False,False,False,False,1.0492376740809164
Te Koutu,New Zealand,1,1,-37.889,-37.889,175.469984,175.469984,18.18,18.18,18.18,1,1,True,False,False,False,1.0
"St. Simons Sound, GA",United States of America (the),2,1,31.1313833333333,31.1313833333333,-81.3979666666667,-81.3979666666667,10.046974522293,10.046974522293,10.046974522293,1,1,False,False,False,False,1.0
"St. Pierre Creek, SC",United States of America (the),2,8,32.539446,32.539446,-80.348539,-80.348539,39.56,113.19,52.765,1,1,False,False,False,False,2.8612234580384226
Wahapo,New Zealand,1,1,-43.2504,-43.2504,170.2646,170.2646,20.2,20.2,20.2,1,1,True,False,False,False,1.0
"Waccamaw River, SC",United States of America (the),4,1,33.4685333333333,33.4685333333333,-79.1575666666667,-79.1575666666667,11.1884057971014,11.1884057971014,11.1884057971014,1,1,False,False,False,False,1.0
Vuntus jachthaven,Netherlands (the),1,1,52.21185,52.21185,5.067967,5.067967,21.4500000000006,21.4500000000006,21.4500000000006,1,1,True,False,False,False,1.0
Vuntus,Netherlands (the),1,1,52.21044,52.21044,5.07541,5.07541,31.0,31.0,31.0,1,1,True,False,False,False,1.0
Vinkeveenseplas jachthaven,Netherlands (the),1,1,52.227533,52.227533,4.9464,4.9464,1.24250000000004,1.24250000000004,1.24250000000004,1,1,True,False,False,False,1.0
Lake Ruatuna,New Zealand,1,1,-37.927254,-37.927254,175.29072,175.29072,32.33,32.33,32.33,1,1,True,False,False,False,1.0
Lake Ruataniwha,New Zealand,1,1,-44.280182,-44.280182,170.066213,170.066213,3.3,3.3,3.3,1,1,True,False,False,False,1.0
Lake Rototuna,New Zealand,1,1,-36.25097,-36.25097,174.04006,174.04006,4.4,4.4,4.4,1,1,True,False,False,False,1.0
Lake Rotoroa (Hamilton),New Zealand,1,1,-37.798348,-37.798348,175.273533,175.273533,2.27,2.27,2.27,1,1,True,False,False,False,1.0
Lake Rotoroa,New Zealand,1,1,-38.948028,-38.948028,177.02758,177.02758,3.4,3.4,3.4,1,1,True,False,False,False,1.0
Lake Vuoskujarvi,Finland,1,1,66.43307,66.43307,26.54973,26.54973,12.44,12.44,12.44,1,1,True,False,False,False,1.0
Lake Viljandi,Estonia,1,1,58.35718,58.35718,25.60305,25.60305,2.75,2.75,2.75,1,1,True,False,False,False,1.0
Lake Vanttausjarvi,Finland,1,1,66.48714,66.48714,26.60941,26.60941,2.2,2.2,2.2,1,1,True,False,False,False,1.0
Lake Udsu,Estonia,1,1,57.9057,57.9057,25.86087,25.86087,1.67,1.67,1.67,1,1,True,False,False,False,1.0
Lake Tutira,New Zealand,1,1,-39.226619,-39.226619,176.893,176.893,1.7,1.7,1.7,1,1,True,False,False,False,1.0
Lake Tuggeranong,Australia,1,1,-35.40916111,-35.40916111,149.0663889,149.0663889,21.143,21.143,21.143,1,1,True,False,False,False,1.0
Lake Tikitapu,New Zealand,1,1,-38.197833,-38.197833,176.33512,176.33512,0.4,0.4,0.4,1,1,True,False,False,False,1.0
Lake Tekapo,New Zealand,1,1,-43.929889,-43.929889,170.526889,170.526889,1.0,1.0,1.0,1,1,True,False,False,False,1.0
Lake Taylor,New Zealand,1,1,-42.768721,-42.768721,172.236526,172.236526,0.7,0.7,0.7,1,1,True,False,False,False,1.0
Lake Tamula,Estonia,1,1,57.844405,57.844405,26.984806,26.984806,7.6,7.6,7.6,1,1,True,False,False,False,1.0
Lake Waitawa,New Zealand,1,1,-40.724733,-40.724733,175.1705,175.1705,1.6,1.6,1.6,1,1,True,False,False,False,1.0
Lake Wairepo Arm,New Zealand,1,1,-44.298703,-44.298703,170.078974,170.078974,0.5,0.5,0.5,1,1,True,False,False,False,1.0
Lake Wainui,New Zealand,1,1,-36.101378,-36.101378,173.88225,173.88225,10.4,10.4,10.4,1,1,True,False,False,False,1.0
Lake Waikopiro,New Zealand,1,1,-39.235301,-39.235301,176.89497,176.89497,8.7,8.7,8.7,1,1,True,False,False,False,1.0
Lake Waikere,New Zealand,1,1,-35.79878,-35.79878,173.62992,173.62992,0.7,0.7,0.7,1,1,True,False,False,False,1.0
Lake Waikaremoana,New Zealand,1,2,-38.773755,-38.773755,177.11047,177.11047,2.0,2.0,2.0,1,1,True,False,False,False,1.0
Lake Waikare,New Zealand,1,1,-37.426093,-37.426093,175.20036,175.20036,54.44,54.44,54.44,1,1,True,False,False,False,1.0
Loosdtrechtse plassen nr5,Netherlands (the),1,1,52.173367,52.173367,5.069683,5.069683,16.4999999999997,16.4999999999997,16.4999999999997,1,1,True,False,False,False,1.0
Loosdrechtse plassen Stille plas,Netherlands (the),1,1,52.183317,52.183317,5.0937,5.0937,12.9166666666669,12.9166666666669,12.9166666666669,1,1,True,False,False,False,1.0
Loosdrechtse Plassen,Netherlands (the),1,1,52.17336,52.17336,5.06178,5.06178,31.0,31.0,31.0,1,1,True,False,False,False,1.0
Lake Rotoiti (Nelson Lake),New Zealand,1,1,-41.820413,-41.820413,172.837157,172.837157,1.0,1.0,1.0,1,1,True,False,False,False,1.0
Lake Rerewhakaaitu,New Zealand,1,1,-38.297389,-38.297389,176.496635,176.496635,2.1,2.1,2.1,1,1,True,False,False,False,1.0
Lake Pukaki,New Zealand,1,1,-44.050678,-44.050678,170.166538,170.166538,1.2,1.2,1.2,1,1,True,False,False,False,1.0
Lake Swan/Rotootuaruru,New Zealand,1,1,-36.33089,-36.33089,174.14216,174.14216,13.6,13.6,13.6,1,1,True,False,False,False,1.0
Lake Sumner,New Zealand,1,1,-42.698689,-42.698689,172.217759,172.217759,0.7,0.7,0.7,1,1,True,False,False,False,1.0
Lake Soitsjärv,Estonia,1,1,58.55788,58.55788,26.68229,26.68229,2.75,2.75,2.75,1,1,True,False,False,False,1.0
Lake Siika-Kama,Finland,1,1,66.22537,66.22537,26.4839,26.4839,4.57,4.57,4.57,1,1,True,False,False,False,1.0
Lake Sheppard,New Zealand,1,1,-42.761886,-42.761886,172.249619,172.249619,1.8,1.8,1.8,1,1,True,False,False,False,1.0
Lake Okaro,New Zealand,1,1,-38.299815,-38.299815,176.394962,176.394962,2.6,2.6,2.6,1,1,True,False,False,False,1.0
Lake Ohakuri,New Zealand,1,1,-38.417044,-38.417044,176.11597,176.11597,3.6,3.6,3.6,1,1,True,False,False,False,1.0
Lake Rotonuiaha,New Zealand,1,1,-38.947922,-38.947922,177.03921,177.03921,2.2,2.2,2.2,1,1,True,False,False,False,1.0
Lake Rotongaio,New Zealand,1,1,-38.943898,-38.943898,177.01181,177.01181,10.5,10.5,10.5,1,1,True,False,False,False,1.0
Lake Rotomanuka,New Zealand,1,1,-37.925977,-37.925977,175.31518,175.31518,5.67,5.67,5.67,1,1,True,False,False,False,1.0
Lake Rotokare,New Zealand,1,1,-39.452792,-39.452792,174.410417,174.410417,1.4,1.4,1.4,1,1,True,False,False,False,1.0
Loenderveense Plas West,Netherlands (the),1,1,52.21624,52.21624,5.06175,5.06175,19.56,19.56,19.56,1,1,True,False,False,False,1.0
Loenderveensche Plas,Netherlands (the),1,1,52.20096,52.20096,5.05959,5.05959,3.34,3.34,3.34,1,1,True,False,False,False,1.0
"Little Pee Dee River, SC",United States of America (the),4,1,33.7362666666667,33.7362666666667,-79.2239833333333,-79.2239833333333,24.8225806451613,24.8225806451613,24.8225806451613,1,1,False,False,False,False,1.0
Minnetonka West Arm,United States of America (the),1,1,44.94625,44.94625,-93.636,-93.636,7.024,7.024,7.024,1,1,True,False,False,False,1.0
Minnetonka Stubbs Bay,United States of America (the),1,1,44.96789,44.96789,-93.61614,-93.61614,7.608,7.608,7.608,1,1,True,False,False,False,1.0
Minnetonka Halstead's Bay,United States of America (the),1,1,44.90907,44.90907,-93.68394,-93.68394,9.048,9.048,9.048,1,1,True,False,False,False,1.0
"Middle Bay, MS",United States of America (the),2,1,30.37915,30.37915,-88.40185,-88.40185,25.74,25.74,25.74,1,1,False,False,False,False,1.0
Lake Loch Katrine,New Zealand,1,1,-42.718525,-42.718525,172.199964,172.199964,0.8,0.8,0.8,1,1,True,False,False,False,1.0
Lake Kuremaa,Estonia,1,1,58.71246,58.71246,26.56154,26.56154,2.89,2.89,2.89,1,1,True,False,False,False,1.0
Lake Koosa,Estonia,1,1,58.43445,58.43445,27.15546,27.15546,6.8,6.8,6.8,1,1,True,False,False,False,1.0
Lake Pounui,New Zealand,1,1,-41.344533,-41.344533,175.11503,175.11503,3.0,3.0,3.0,1,1,True,False,False,False,1.0
Lake Pearson,New Zealand,1,1,-43.09599,-43.09599,171.784415,171.784415,3.5,3.5,3.5,1,1,True,False,False,False,1.0
Markermeer De hemmelanden,Netherlands (the),1,1,52.460133,52.460133,5.045567,5.045567,6.4249999999999,6.4249999999999,6.4249999999999,1,1,True,False,False,False,1.0
Mapourika,New Zealand,1,1,-43.30345,-43.30345,170.215,170.215,1.1333,1.1333,1.1333,1,1,True,False,False,False,1.0
Mangakaware,New Zealand,1,1,-37.932386,-37.932386,175.219556,175.219556,10.4,10.4,10.4,1,1,True,False,False,False,1.0
"Mackay River, GA",United States of America (the),4,1,31.231455,31.231455,-81.429949,-81.429949,14.2244660194179,14.2244660194179,14.2244660194179,1,1,False,False,False,False,1.0
"Lyons Bay, FL",United States of America (the),2,1,27.1172833333333,27.1172833333333,-82.4666833333333,-82.4666833333333,18.5531914893618,18.5531914893618,18.5531914893618,1,1,False,False,False,False,1.0
Nightevecht,Netherlands (the),4,1,52.27425,52.27425,5.0227,5.0227,9.39000000000023,9.39000000000023,9.39000000000023,1,1,False,False,False,False,1.0
Naardermeer-Spookgat,Netherlands (the),1,1,52.30269,52.30269,5.10699,5.10699,3.8,3.8,3.8,1,1,True,False,False,False,1.0
NIOZ jetty,Netherlands (the),2,1,53.001833,53.001833,4.7892,4.7892,13.7124999999999,13.7124999999999,13.7124999999999,1,1,False,False,False,False,1.0
"N Rigolets Bayou, MS",United States of America (the),2,1,30.3664,30.3664,-88.4110166666667,-88.4110166666667,40.79,40.79,40.79,1,1,False,False,False,False,1.0
Lake Kalli,Estonia,1,1,58.37779,58.37779,27.23903,27.23903,3.6,3.6,3.6,1,1,True,False,False,False,1.0
Lake Kai-iwi,New Zealand,1,1,-35.81562,-35.81562,173.65376,173.65376,3.6,3.6,3.6,1,1,True,False,False,False,1.0
Lake Kahuparere,New Zealand,1,1,-36.36933,-36.36933,174.15728,174.15728,4.4,4.4,4.4,1,1,True,False,False,False,1.0
Lake Kaariku,Estonia,1,1,58.00357,58.00357,26.39602,26.39602,3.0,3.0,3.0,1,1,True,False,False,False,1.0
Lake Juottaan Tekojarvi,Finland,1,1,66.31871,66.31871,26.94662,26.94662,1.86,1.86,1.86,1,1,True,False,False,False,1.0
Lake Joksi,Estonia,1,1,58.002147,58.002147,26.751146,26.751146,1.31,1.31,1.31,1,1,True,False,False,False,1.0
Lake Joemoisa,Estonia,1,1,58.65278,58.65278,26.8322,26.8322,3.6,3.6,3.6,1,1,True,False,False,False,1.0
Lake Murati,Estonia,1,1,57.58591,57.58591,27.09136,27.09136,2.8,2.8,2.8,1,1,True,False,False,False,1.0
Lake Mokeno,New Zealand,1,1,-36.35158,-36.35158,174.06065,174.06065,6.0,6.0,6.0,1,1,True,False,False,False,1.0
Lake Maratoto,New Zealand,1,1,-37.887558,-37.887558,175.304366,175.304366,1.45,1.45,1.45,1,1,True,False,False,False,1.0
Lake Hino,Estonia,1,1,57.58213,57.58213,27.2324,27.2324,10.67,10.67,10.67,1,1,True,False,False,False,1.0
Lake Hayes,New Zealand,1,1,-44.982584,-44.982584,168.80687,168.80687,2.7,2.7,2.7,1,1,True,False,False,False,1.0
Lake Haupiri,New Zealand,1,1,-42.567127,-42.567127,171.693366,171.693366,1.0,1.0,1.0,1,1,True,False,False,False,1.0
Lake Harihari,New Zealand,1,1,-38.210217,-38.210217,174.72305,174.72305,8.4,8.4,8.4,1,1,True,False,False,False,1.0
Lake Kooraste Linajarv,Estonia,1,1,57.96305,57.96305,26.66403,26.66403,18.8,18.8,18.8,1,1,True,False,False,False,1.0
Lake Komiojarvi,Finland,1,1,66.91257,66.91257,27.0612,27.0612,3.2,3.2,3.2,1,1,True,False,False,False,1.0
Lake Karaka,New Zealand,1,1,-36.31382,-36.31382,174.03847,174.03847,27.6,27.6,27.6,1,1,True,False,False,False,1.0
Lake Kanono,New Zealand,1,1,-36.36485,-36.36485,174.14871,174.14871,5.2,5.2,5.2,1,1,True,False,False,False,1.0
"Moore's Lake, DE",United States of America (the),1,1,39.1278,39.1278,-75.5215166666667,-75.5215166666667,3.6,3.6,3.6,1,1,True,False,False,False,1.0
Moeraki,New Zealand,1,1,-43.73209,-43.73209,169.2841,169.2841,1.5333,1.5333,1.5333,1,1,True,False,False,False,1.0
Lake Humuhumu,New Zealand,1,1,-36.32818,-36.32818,174.12941,174.12941,3.6,3.6,3.6,1,1,True,False,False,False,1.0
Lake Holstre,Estonia,1,1,58.2761,58.2761,25.69015,25.69015,10.75,10.75,10.75,1,1,True,False,False,False,1.0
"Knitting Mill Creek, VA",United States of America (the),2,1,36.8858285,36.8858285,-76.2939393333333,-76.2939393333333,52.2105263157895,52.2105263157895,52.2105263157895,1,1,False,False,False,False,1.0
Lake Ellesmere (Te Waihora),New Zealand,1,1,-43.789926,-43.789926,172.450385,172.450385,83.2,83.2,83.2,1,1,True,False,False,False,1.0
"Pamlico Sound, NC",United States of America (the),2,1,35.05055,35.05055,-76.3032,-76.3032,15.7799999999999,15.7799999999999,15.7799999999999,1,1,False,False,False,False,1.0
"Otter Point Creek, MD",United States of America (the),2,1,39.44569,39.44569,-76.2439,-76.2439,16.3,16.3,16.3,1,1,False,False,False,False,1.0
"Osabaw Sound, GA",United States of America (the),2,1,31.8311666666667,31.8311666666667,-81.0364166666667,-81.0364166666667,80.3200000000004,80.3200000000004,80.3200000000004,1,1,False,False,False,False,1.0
Ohinewai,New Zealand,1,1,-37.494439,-37.494439,175.171297,175.171297,20.0,20.0,20.0,1,1,True,False,False,False,1.0
