Site_name,Country,Water_body_type,n_raw,lat_min,lat_max,lon_min,lon_max,TSS_min,TSS_max,TSS_median,n_group,n_unique_dates,is_lake_reservoir,eligible_n_group_ge20,eligible_n_group_ge15,eligible_n_group_ge10,tss_dynamic_range_ratio
Arcachon Bay,France,3,25,44.6354,45.5174,-1.236,-0.628,0.8,1815.35,4.39,19,9,False,False,False,False,2269.1874999999995
Lake Rotoehu,New Zealand,1,18,-38.025536,-37.9982,176.53057,176.53315,0.51,5.4,3.1500000000000004,18,10,True,False,True,True,10.588235294117647
"Altamaha River, GA",United States of America (the),4,18,31.2846111111111,31.3556333333333,-81.4785166666667,-81.29129,6.04,81.2,11.09249999999985,18,4,False,False,False,False,13.443708609271523
Trasimeno,Italy,1,25,43.10445,43.1704,12.0492,12.1773833333333,2.86666666666667,28.0,4.91666666666666,18,5,True,False,True,True,9.767441860465105
"Duplin River, GA",United States of America (the),4,17,31.3636333333333,31.4900666666667,-81.3103888888889,-81.2432,5.6,65.6936936936944,34.14,17,4,False,False,False,False,11.731016731016858
Fremont Lake #05,United States of America (the),1,17,41.44907,41.44907,-96.5709,-96.5709,5.73,18.1,9.68,17,17,True,False,True,True,3.1588132635253054
Fremont Lake #01,United States of America (the),1,17,41.45017,41.45017,-96.5606,-96.5606,1.78,9.0,3.72,17,17,True,False,True,True,5.056179775280899
Fremont Lake #16,United States of America (the),1,17,41.44202,41.44202,-96.55752,-96.55752,3.78,12.5,7.33,17,17,True,False,True,True,3.306878306878307
Fremont Lake #17,United States of America (the),1,17,41.4394,41.4394,-96.54592,-96.54592,1.33,14.0,7.68,17,17,True,False,True,True,10.526315789473683
"Ogeechee River, GA",United States of America (the),4,18,31.85695,32.0258833333333,-81.3252166666667,-81.0982666666667,1.85000000000028,42.3333333333331,14.59839816933625,17,9,False,False,False,False,22.882882882879294
Roodeplaat,South Africa,1,17,-25.6297,-25.62494557,28.37094943,28.3755,0.8,58.5,5.6,17,7,True,False,True,True,73.125
Iseo,Italy,1,17,45.6677222222222,45.806965,9.97474,10.083335,1.44,5.87500000000128,3.0,17,4,True,False,True,True,4.079861111112
"Carter Lake, NE",United States of America (the),1,17,41.2893833333333,41.3025333333333,-95.93005,-95.9033333333333,11.7046794177792,24.3653250773999,19.4178044178046,17,7,True,False,True,True,2.081673850920633
Fremont Lake #02,United States of America (the),1,17,41.4498,41.4498,-96.56363,-96.56363,1.95,15.0,6.8,17,17,True,False,True,True,7.6923076923076925
Fremont Lake #03,United States of America (the),1,17,41.45073,41.45073,-96.5695,-96.5695,1.4,15.1,6.86,17,17,True,False,True,True,10.785714285714286
Lake Rotoiti,New Zealand,1,16,-38.048833,-38.02079,176.33538,176.445381,0.33,5.6,0.88,16,9,True,False,True,True,16.96969696969697
Western Treatment Plant,Australia,5,16,-38.0105,-37.985644,144.5809,144.654106,1.519,61.429,6.513999999999999,16,6,False,False,False,False,40.44042132982226
Fremont Lake #07,United States of America (the),1,16,41.44992,41.44992,-96.57977,-96.57977,2.88,12.3,7.975,16,16,True,False,True,True,4.270833333333334
Hartbeespoort,South Africa,1,16,-25.7552,-25.7479,27.8358,27.8635,0.8,2533.3,33.5,16,9,True,False,True,True,3166.625
Lake Vortsjarv,Estonia,1,15,58.09975,58.33775,26.0131,26.1018333333333,6.25,24.67,12.5,15,4,True,False,True,True,3.9472000000000005
Lake Michigan,United States of America (the),1,40,44.44255,45.2499,-87.99774,-86.834633,0.0,19.0,0.6499999999999999,15,4,True,False,True,True,19000000.0
Fremont Lake #04,United States of America (the),1,14,41.45053,41.45053,-96.57692,-96.57692,1.19,9.6,4.12,14,14,True,False,False,True,8.067226890756302
Curuai Lake,Brazil,1,14,-2.26222222,-1.94522222,-55.86488889,-55.12447222,4.0,43.5,12.5,14,4,True,False,False,True,10.875
Lake Rotoma,New Zealand,1,14,-38.057483,-38.027007,176.58407,176.59092,0.12,3.2,0.53,14,9,True,False,False,True,26.666666666666668
Lake Pyszne,Poland,1,14,54.09317,54.09317,17.50844,17.50844,1.016,5.966,3.5999999999999996,14,14,True,False,False,True,5.872047244094488
Parnu Bay,Estonia,2,14,58.06697,58.38863,23.95081,24.4931,4.25,19.6,9.0,14,2,False,False,False,False,4.611764705882353
Lake Boruja Mała,Poland,1,13,54.08755,54.08755,17.42328,17.42328,0.86,2.553,1.59,13,13,True,False,False,True,2.968604651162791
"Aransas Bay, TX",United States of America (the),2,13,27.9114194444444,28.114964,-97.977529,-96.960742,1.89,39.3608247422677,14.5571428571431,13,4,False,False,False,False,20.82583319696704
Atlantic Ocean,Spain,3,13,43.8618,46.9591,-9.01122,-5.32873,0.211,0.452,0.367,13,8,False,False,False,False,2.1421800947867298
Fremont Lake #20,United States of America (the),1,13,41.43662,41.43663,-96.54927,-96.54925,2.22,6.57,3.78,13,13,True,False,False,True,2.959459459459459
Loskop,South Africa,1,38,-25.453,-25.453,29.288,29.288,0.91,26.9,3.17,12,12,True,False,False,True,29.56043956043956
Lake Gardno,Poland,1,17,54.63876,54.63876,17.14285,17.14285,7.62,265.3,34.4,12,12,True,False,False,True,34.816272965879264
Lake Monona,United States of America (the),1,12,43.06016,43.08071,-89.37709,-89.34325,4.08,6.6,4.970000000000001,12,4,True,False,False,True,1.6176470588235292
North Sea,Netherlands (the),3,22,53.290932,53.623,3.149109,4.982,6.56875,38.60005,10.39095,12,4,False,False,False,False,5.876315889628926
Lake Mendota,United States of America (the),1,12,43.09467,43.12335,-89.45497,-89.40506,2.47,6.75,4.4,12,4,True,False,False,True,2.7327935222672064
Geneva Lake,United States of America (the),1,12,42.55873,42.57266,-88.54488,-88.45276,0.691,1.83,1.2200000000000002,12,4,True,False,False,True,2.648335745296672
Rock Lake,United States of America (the),1,12,43.07224,43.08895,-88.9356,-88.92797,1.84,7.5,3.07,12,4,True,False,False,True,4.076086956521739
"Edisto River, SC",United States of America (the),4,12,32.4844666666667,32.6897,-80.4202666666667,-80.3397666666667,4.69,103.02,56.394999999999996,11,1,False,False,False,False,21.965884861407247
Burrinjuck Dam,Australia,1,11,-35.023765,-34.914661,148.6031016,148.791602,1.956,12.8,4.267,11,5,True,False,False,True,6.543967280163599
Mulargia,Italy,1,11,39.6003166666667,39.6333666666667,9.20035,9.26623333333333,1.7,3.0,1.9,11,3,True,False,False,True,1.7647058823529411
Lake Głębokie,Poland,1,11,54.27681,54.27681,17.37698,17.37698,3.029,8.09,5.49,11,11,True,False,False,True,2.670848464839881
Lake Czarne,Poland,1,11,54.27597,54.27597,17.43861,17.43861,1.533,3.333,1.941,11,11,True,False,False,True,2.174168297455969
Lake Poygan,United States of America (the),1,11,44.12649,44.1609,-88.89045,-88.79896,11.2,48.0,24.0,11,5,True,False,False,True,4.285714285714286
Maggiore,Italy,1,13,45.89703333,45.98586,8.508583333,8.63624,0.95,2.7,1.9,11,4,True,False,False,True,2.842105263157895
Lake Jindabyne,Australia,1,10,-36.4223441,-36.3161488,148.6171346,148.6358018,1.156,2.533,1.5185,10,5,True,False,False,True,2.1911764705882355
"Chesapeake Bay, MD",United States of America (the),2,10,38.32708,38.88029,-76.51167,-76.3773,8.8,64.8,13.25,10,3,False,False,False,False,7.363636363636362
Roatan Island Offshore,Honduras,3,10,16.268,16.354,-86.608,-86.523,0.158,4.091,0.9339999999999999,10,9,False,False,False,False,25.89240506329114
"Lake Manawa, IA",United States of America (the),1,10,41.20445,41.21215,-95.8550333333333,-95.8534666666667,7.6,20.5,14.2,10,9,True,False,False,True,2.697368421052632
Lake Winnebago,United States of America (the),1,10,43.83129,44.08305,-88.507,-88.40487,12.0,35.5,18.1,10,3,True,False,False,True,2.9583333333333335
"Missouri River, NE",United States of America (the),4,9,41.0368333333333,41.26735,-95.9214333333333,-95.8598333333333,90.9,726.3,141.6,9,8,False,False,False,False,7.990099009900989
Lake Waubesa,United States of America (the),1,9,42.99727,43.02576,-89.33431,-89.31752,8.0,11.3,10.0,9,3,True,False,False,False,1.4125
Suwa,Japan,1,9,36.04152778,36.06147222,138.0571667,138.1021944,4.444444444,9.611111111,7.466666667,9,2,True,False,False,False,2.1625000001912498
Metonga Lake,United States of America (the),1,9,45.5296,45.55423,-88.90531,-88.9021,0.444,1.3,0.708,9,3,True,False,False,False,2.9279279279279278
Blowering Reservoir,Australia,1,9,-35.5297887,-35.41002,148.2466599,148.2935,0.907,4.733,1.433,9,5,True,False,False,False,5.218302094818081
Lake Kegonsa,United States of America (the),1,9,42.95779,42.97501,-89.26925,-89.24269,11.2,16.0,12.7,9,3,True,False,False,False,1.4285714285714286
"Cunningham Lake, NE",United States of America (the),1,9,41.339288,41.361862,-96.055583,-96.053359,9.169887994,36.41146338,13.07913452,9,2,True,False,False,False,3.9707642453020786
Biwa,Japan,1,9,35.09785,35.39373333,135.9261667,136.1522667,0.765,1.985,0.865,9,1,True,False,False,False,2.5947712418300655
Pelican Lake,United States of America (the),1,9,45.50253,45.51345,-89.21435,-89.17639,2.2,6.0,4.83,9,3,True,False,False,False,2.727272727272727
"Ashepoo River, SC",United States of America (the),4,8,32.4879666666667,32.7009722222222,-80.5186944444444,-80.4089833333333,5.95,52.74,28.32,8,2,False,False,False,False,8.863865546218488
